"Country","Year","Ban on advertising: National TV and radio","Ban on advertising: International TV and radio (broadcast from abroad, including satellite)","Ban on advertising: Local magazines and newspapers","Ban on advertising: International magazines and newspapers","Ban on advertising: Billboards and outdoor advertising","Ban on advertising: Point of sale","Ban on advertising: Internet"
"Afghanistan"," 2014","Yes","No","Yes","No","No","No","No"
"Afghanistan"," 2012","Yes","No","Yes","No","No","No","No"
"Afghanistan"," 2010","Yes","No","Yes","No","No","No","No"
"Afghanistan"," 2007","Yes","No","Yes","No","No","No","No"
"Albania"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Albania"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Albania"," 2010","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Albania"," 2007","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Algeria"," 2014","Yes","Yes","Yes","Yes","Yes","No","No"
"Algeria"," 2012","Yes","Yes","Yes","Yes","Yes","No","No"
"Algeria"," 2010","Yes","Yes","Yes","Yes","Yes","No","No"
"Algeria"," 2007","Yes","Yes","Yes","Yes","Yes","No","No"
"Andorra"," 2014","No","No","No","No","No","No","No"
"Andorra"," 2012","No","No","No","No","No","No","No"
"Andorra"," 2010","No","No","No","No","No","No","No"
"Andorra"," 2007","No","No","No","No","No","No","No"
"Angola"," 2014","No","No","No","No","No","No","No"
"Angola"," 2012","No","No","No","No","No","No","No"
"Angola"," 2010","No","No","No","No","No","No","No"
"Angola"," 2007","No","No","No","No","No","No","No"
"Antigua and Barbuda"," 2014","No","No","No","No","No","No","No"
"Antigua and Barbuda"," 2012","No","No","No","No","No","No","No"
"Antigua and Barbuda"," 2010","No","No","No","No","No","No","No"
"Antigua and Barbuda"," 2007","No","No","No","No","No","No","No"
"Argentina"," 2014","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Argentina"," 2012","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Argentina"," 2010","No","No","No","No","No","No","No"
"Argentina"," 2007","No","No","No","No","No","No","No"
"Armenia"," 2014","Yes","Yes","No","No","Yes","No","Yes"
"Armenia"," 2012","Yes","Yes","No","No","Yes","No","Yes"
"Armenia"," 2010","Yes","Yes","No","No","Yes","No","Yes"
"Armenia"," 2007","Yes","Yes","No","No","Yes","No","Yes"
"Australia"," 2014","Yes","Yes","Yes","No","Yes","No","Yes"
"Australia"," 2012","Yes","Yes","Yes","No","Yes","No","Yes"
"Australia"," 2010","Yes","Yes","Yes","No","Yes","No","No"
"Australia"," 2007","Yes","Yes","Yes","No","Yes","No","No"
"Austria"," 2014","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Austria"," 2012","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Austria"," 2010","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Austria"," 2007","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Azerbaijan"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Azerbaijan"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Azerbaijan"," 2010","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Azerbaijan"," 2007","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Bahamas"," 2014","Yes","Yes","No","No","No","No","No"
"Bahamas"," 2012","Yes","Yes","No","No","No","No","No"
"Bahamas"," 2010","Yes","Yes","No","No","No","No","No"
"Bahamas"," 2007","Yes","Yes","No","No","No","No","No"
"Bahrain"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Bahrain"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Bahrain"," 2010","Yes","No","Yes","No","Yes","Yes","Yes"
"Bahrain"," 2007","Yes","No","No","No","No","No","No"
"Bangladesh"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Bangladesh"," 2012","Yes","Yes","Yes","No","No","No","No"
"Bangladesh"," 2010","Yes","Yes","Yes","No","No","No","No"
"Bangladesh"," 2007","Yes","Yes","Yes","No","No","No","No"
"Barbados"," 2014","No","No","No","No","No","No","No"
"Barbados"," 2012","No","No","No","No","No","No","No"
"Barbados"," 2010","No","No","No","No","No","No","No"
"Barbados"," 2007","No","No","No","No","No","No","No"
"Belarus"," 2014","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Belarus"," 2012","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Belarus"," 2010","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Belarus"," 2007","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Belgium"," 2014","Yes","Yes","Yes","No","Yes","No","Yes"
"Belgium"," 2012","Yes","Yes","Yes","No","Yes","No","Yes"
"Belgium"," 2010","Yes","Yes","Yes","No","Yes","No","Yes"
"Belgium"," 2007","Yes","Yes","Yes","No","Yes","No","Yes"
"Belize"," 2014","No","No","No","No","No","No","No"
"Belize"," 2012","No","No","No","No","No","No","No"
"Belize"," 2010","No","No","No","No","No","No","No"
"Belize"," 2007","No","No","No","No","No","No","No"
"Benin"," 2014","Yes","Yes","Yes","No","Yes","No","No"
"Benin"," 2012","Yes","Yes","Yes","No","Yes","No","No"
"Benin"," 2010","Yes","Yes","Yes","No","Yes","No","No"
"Benin"," 2007","Yes","Yes","Yes","No","Yes","No","No"
"Bhutan"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Bhutan"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Bhutan"," 2010","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Bhutan"," 2007","Yes","No","No","No","No","Yes","No"
"Bolivia (Plurinational State of)"," 2014","Yes","Yes","Yes","Yes","Yes","No","No"
"Bolivia (Plurinational State of)"," 2012","Yes","Yes","Yes","Yes","Yes","No","No"
"Bolivia (Plurinational State of)"," 2010","Yes","Yes","Yes","Yes","Yes","No","No"
"Bolivia (Plurinational State of)"," 2007","Yes","Yes","Yes","Yes","Yes","No","No"
"Bosnia and Herzegovina"," 2014","Yes","Yes","Yes","Yes","Yes","No","No"
"Bosnia and Herzegovina"," 2012","Yes","Yes","Yes","Yes","Yes","No","No"
"Bosnia and Herzegovina"," 2010","Yes","Yes","Yes","Yes","Yes","No","No"
"Bosnia and Herzegovina"," 2007","Yes","Yes","Yes","Yes","Yes","No","No"
"Botswana"," 2014","Yes","No","Yes","No","Yes","Yes","Yes"
"Botswana"," 2012","Yes","No","Yes","No","Yes","Yes","Yes"
"Botswana"," 2010","Yes","No","Yes","No","Yes","Yes","Yes"
"Botswana"," 2007","Yes","No","Yes","No","Yes","Yes","Yes"
"Brazil"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Brazil"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Brazil"," 2010","Yes","No","Yes","No","Yes","No","Yes"
"Brazil"," 2007","Yes","No","Yes","No","Yes","No","Yes"
"Brunei Darussalam"," 2014","Yes","Yes","Yes","No","Yes","Yes","No"
"Brunei Darussalam"," 2012","Yes","Yes","Yes","No","Yes","Yes","No"
"Brunei Darussalam"," 2010","Yes","Yes","Yes","No","Yes","Yes","No"
"Brunei Darussalam"," 2007","Yes","Yes","Yes","No","Yes","No","No"
"Bulgaria"," 2014","Yes","Yes","Yes","No","No","No","Yes"
"Bulgaria"," 2012","Yes","Yes","Yes","No","No","No","Yes"
"Bulgaria"," 2010","Yes","Yes","Yes","No","No","No","Yes"
"Bulgaria"," 2007","Yes","Yes","Yes","No","No","No","Yes"
"Burkina Faso"," 2014","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Burkina Faso"," 2012","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Burkina Faso"," 2010","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Burkina Faso"," 2007","Yes","Yes","Yes","No","Yes","No","No"
"Burundi"," 2014","No","No","No","No","No","No","No"
"Burundi"," 2012","No","No","No","No","No","No","No"
