"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","1960",0.700946,
"AUS","PPP","TOT","NATUSD","A","1961",0.701324,
"AUS","PPP","TOT","NATUSD","A","1962",0.68799,
"AUS","PPP","TOT","NATUSD","A","1963",0.698321,
"AUS","PPP","TOT","NATUSD","A","1964",0.708346,
"AUS","PPP","TOT","NATUSD","A","1965",0.705945,
"AUS","PPP","TOT","NATUSD","A","1966",0.70894,
"AUS","PPP","TOT","NATUSD","A","1967",0.711321,
"AUS","PPP","TOT","NATUSD","A","1968",0.70353,
"AUS","PPP","TOT","NATUSD","A","1969",0.70688,
"AUS","PPP","TOT","NATUSD","A","1970",0.686194,
"AUS","PPP","TOT","NATUSD","A","1971",0.694864,
"AUS","PPP","TOT","NATUSD","A","1972",0.713974,
"AUS","PPP","TOT","NATUSD","A","1973",0.765889,
"AUS","PPP","TOT","NATUSD","A","1974",0.825855,
"AUS","PPP","TOT","NATUSD","A","1975",0.860979,
"AUS","PPP","TOT","NATUSD","A","1976",0.92297,
"AUS","PPP","TOT","NATUSD","A","1977",0.953193,
"AUS","PPP","TOT","NATUSD","A","1978",0.963282,
"AUS","PPP","TOT","NATUSD","A","1979",0.976087,
"AUS","PPP","TOT","NATUSD","A","1980",0.983229,
"AUS","PPP","TOT","NATUSD","A","1981",0.986869,
"AUS","PPP","TOT","NATUSD","A","1982",1.041678,
"AUS","PPP","TOT","NATUSD","A","1983",1.087813,
"AUS","PPP","TOT","NATUSD","A","1984",1.112354,
"AUS","PPP","TOT","NATUSD","A","1985",1.137132,
"AUS","PPP","TOT","NATUSD","A","1986",1.195339,
"AUS","PPP","TOT","NATUSD","A","1987",1.241729,
"AUS","PPP","TOT","NATUSD","A","1988",1.302071,
"AUS","PPP","TOT","NATUSD","A","1989",1.350086,
"AUS","PPP","TOT","NATUSD","A","1990",1.365606,
"AUS","PPP","TOT","NATUSD","A","1991",1.347899,
"AUS","PPP","TOT","NATUSD","A","1992",1.327496,
"AUS","PPP","TOT","NATUSD","A","1993",1.311796,
"AUS","PPP","TOT","NATUSD","A","1994",1.300086,
"AUS","PPP","TOT","NATUSD","A","1995",1.309752,
"AUS","PPP","TOT","NATUSD","A","1996",1.311358,
"AUS","PPP","TOT","NATUSD","A","1997",1.307541,
"AUS","PPP","TOT","NATUSD","A","1998",1.298959,
"AUS","PPP","TOT","NATUSD","A","1999",1.29695,
"AUS","PPP","TOT","NATUSD","A","2000",1.311113,
