index,Country,2016,2015,2014,2013,2012,2011,2010
0,Albania,5.07,4.77,4.81,5.06,5.43,5.65,5.53
5,Algeria,0.56,0.56,0.56,0.54,0.49,0.44,0.39
10,Andorra,10.06,9.97,9.95,9.78,10.06,10.31,10.64
15,Angola,4.7,5.65,9.0,8.02,8.14,7.86,7.67
20,Armenia,3.77,3.84,3.97,3.72,3.84,4.06,4.23
25,Australia,9.71,9.52,9.71,9.87,10.03,10.3,10.52
30,Azerbaijan,0.39,0.84,1.95,2.04,1.98,1.94,1.9
35,Bahrain,2.08,2.16,2.12,2.12,2.02,1.86,2.1
40,Belarus,10.05,10.09,11.71,12.37,14.14,15.05,13.88
45,Bolivia (Plurinational State of),3.57,3.61,3.69,3.73,3.82,3.86,3.9
50,Bosnia and Herzegovina,4.44,4.33,4.34,4.43,4.69,4.65,4.5
55,Brazil,6.31,6.97,7.17,7.1,7.31,7.43,7.38
60,Bulgaria,11.49,11.3,10.67,10.74,11.3,11.05,10.83
65,Cambodia,3.5,3.32,3.04,2.78,2.5,2.38,2.14
70,Canada,8.2,8.0,8.1,8.2,8.3,8.2,8.4
75,China,5.74,5.74,5.81,5.81,5.74,5.65,5.75
80,Colombia,4.46,4.43,4.3,4.33,4.35,4.29,4.21
85,Costa Rica,3.7,3.63,3.56,3.53,3.43,3.49,3.65
90,Croatia,10.32,9.89,10.64,11.64,11.92,12.43,12.11
95,Cuba,4.59,4.6,4.48,4.32,4.15,4.15,4.1
100,Czechia,12.99,12.82,13.06,12.84,12.97,12.61,12.65
105,Denmark,9.55,9.38,9.53,9.43,9.1,10.22,10.24
110,Djibouti,0.36,0.37,0.34,0.52,0.47,0.51,0.5
115,Dominican Republic,5.5,6.14,6.02,6.03,6.02,6.01,6.12
120,Ecuador,3.17,3.67,3.8,3.78,3.92,4.0,3.96
125,Egypt,0.18,0.18,0.2,0.2,0.2,0.2,0.21
130,El Salvador,2.68,2.57,2.47,2.36,2.42,2.31,2.29
135,Estonia,15.35,16.64,17.29,17.75,16.96,16.27,14.97
140,Finland,8.43,8.51,8.75,9.07,9.27,9.81,9.72
145,France,11.74,11.87,11.97,11.64,12.24,12.37,12.33
150,Georgia,7.44,7.44,7.23,7.06,7.59,8.68,8.1
155,Germany,10.9,11.99,11.6,11.67,11.76,11.87,11.35
159,Greece,6.52,6.64,6.99,7.52,7.62,8.03,8.99
164,Grenada,8.88,8.67,8.47,8.37,8.28,8.11,8.18
169,Guatemala,1.62,1.62,1.65,1.81,1.9,2.02,1.99
174,Guyana,5.31,4.75,5.2,5.11,5.13,5.11,5.08
179,Honduras,2.86,2.84,2.64,2.92,2.92,2.94,2.91
184,Iceland,7.5,7.66,7.01,6.8,6.82,6.84,6.79
188,India,3.04,3.0,3.02,3.05,3.06,2.96,2.74
193,Indonesia,0.29,0.28,0.28,0.28,0.1,0.09,0.09
