Country,Ban_Score_Dir_Ads
Afghanistan,8
Albania,8
Algeria,5
Andorra,0
Angola,0
Antigua and Barbuda,7
Argentina,7
Armenia,5
Australia,6
Austria,7
Azerbaijan,8
Bahamas,3
Bahrain,7
Bangladesh,8
Barbados,0
Belarus,7
Belgium,6
Belize,0
Benin,8
Bhutan,8
Bolivia (Plurinational State of),6
Bosnia and Herzegovina,6
Botswana,6
Brazil,8
Brunei Darussalam,5
Bulgaria,5
Burkina Faso,7
Burundi,8
Cabo Verde,8
Cambodia,8
Cameroon,6
Canada,5
Central African Republic,0
Chad,7
Chile,8
China,7
Colombia,8
Comoros,4
Congo,8
Cook Islands,5
Costa Rica,8
Côte d'Ivoire,0
Croatia,8
Cuba,0
Cyprus,7
Czechia,6
Democratic People's Republic of Korea,0
Democratic Republic of the Congo,8
Denmark,7
Djibouti,8
Dominica,0
Dominican Republic,0
Ecuador,7
Egypt,8
El Salvador,7
Equatorial Guinea,0
Eritrea,8
Estonia,7
Ethiopia,8
Fiji,4
Finland,7
France,6
Gabon,7
Gambia,8
Georgia,8
Germany,6
Ghana,8
Greece,5
Grenada,0
Guatemala,0
Guinea,8
Guinea-Bissau,0
Guyana,8
Haiti,0
Honduras,6
Hungary,6
Iceland,7
India,7
Indonesia,0
Iran (Islamic Republic of),8
Iraq,6
Ireland,6
Israel,2
Italy,7
Jamaica,2
Japan,0
Jordan,8
Kazakhstan,8
Kenya,8
Kiribati,6
Kuwait,8
Kyrgyzstan,7
Lao People's Democratic Republic,6
Latvia,7
Lebanon,8
Lesotho,0
Liberia,0
Libya,8
Lithuania,7
Luxembourg,6
Madagascar,7
Malawi,0
Malaysia,8
Maldives,8
Mali,7
Malta,7
Marshall Islands,2
Mauritania,8
Mauritius,8
Mexico,4
Micronesia (Federated States of),4
Monaco,0
Mongolia,8
Montenegro,7
Morocco,4
Mozambique,6
Myanmar,7
Namibia,8
Nauru,5
Nepal,8
Netherlands,6
New Zealand,6
Nicaragua,4
Niger,8
Nigeria,8
Niue,8
North Macedonia,8
Norway,6
Oman,8
Pakistan,6
Palau,7
Panama,8
Papua New Guinea,6
Paraguay,7
Peru,4
Philippines,7
Poland,8
Portugal,6
Qatar,8
Republic of Korea,5
Republic of Moldova,8
Romania,6
Russian Federation,8
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,6
San Marino,6
Sao Tome and Principe,4
Saudi Arabia,8
Senegal,8
Serbia,7
Seychelles,8
Sierra Leone,0
Singapore,8
Slovakia,7
Slovenia,8
Solomon Islands,5
Somalia,0
South Africa,5
South Sudan,0
Spain,7
Sri Lanka,6
Sudan,8
Suriname,8
Eswatini,8
Sweden,7
Switzerland,3
Syrian Arab Republic,8
Tajikistan,6
Thailand,8
Timor-Leste,7
Togo,8
Tonga,5
Trinidad and Tobago,4
Tunisia,6
Turkey,8
Turkmenistan,8
Tuvalu,6
Uganda,8
Ukraine,7
United Arab Emirates,8
United Kingdom of Great Britain and Northern Ireland,7
United Republic of Tanzania,7
United States of America,2
Uruguay,8
Uzbekistan,5
Vanuatu,6
Venezuela (Bolivarian Republic of),4
Viet Nam,8
West Bank and Gaza Strip,8
Yemen,8
Zambia,0
Zimbabwe,0
