Country,Ban_Score_Indr_Ads
Afghanistan,7
Albania,8
Algeria,0
Andorra,0
Angola,0
Antigua and Barbuda,9
Argentina,10
Armenia,2
Australia,2
Austria,8
Azerbaijan,8
Bahamas,0
Bahrain,10
Bangladesh,5
Barbados,0
Belarus,4
Belgium,5
Belize,0
Benin,9
Bhutan,6
Bolivia (Plurinational State of),2
Bosnia and Herzegovina,2
Botswana,2
Brazil,7
Brunei Darussalam,5
Bulgaria,2
Burkina Faso,7
Burundi,5
Cabo Verde,2
Cambodia,1
Cameroon,2
Canada,5
Central African Republic,0
Chad,7
Chile,5
China,3
Colombia,8
Comoros,3
Congo,9
Cook Islands,8
Costa Rica,8
Côte d'Ivoire,0
Croatia,9
Cuba,0
Cyprus,8
Czechia,4
Democratic People's Republic of Korea,0
Democratic Republic of the Congo,9
Denmark,5
Djibouti,10
Dominica,0
Dominican Republic,0
Ecuador,7
Egypt,7
El Salvador,6
Equatorial Guinea,0
Eritrea,9
Estonia,3
Eswatini,7
Ethiopia,6
Fiji,6
Finland,8
France,9
Gabon,4
Gambia,10
Georgia,9
Germany,3
Ghana,10
Greece,3
Grenada,0
Guatemala,4
Guinea,9
Guinea-Bissau,0
Guyana,10
Haiti,0
Honduras,0
Hungary,6
Iceland,7
India,8
Indonesia,4
Iran (Islamic Republic of),10
Iraq,4
Ireland,4
Israel,3
Italy,1
Jamaica,0
Japan,0
Jordan,2
Kazakhstan,4
Kenya,10
Kiribati,9
Kuwait,7
Kyrgyzstan,7
Lao People's Democratic Republic,4
Latvia,3
Lebanon,9
Lesotho,0
Liberia,0
Libya,10
Lithuania,8
Luxembourg,8
Madagascar,8
Malawi,0
Malaysia,5
Maldives,8
Mali,9
Malta,6
Marshall Islands,5
Mauritania,5
Mauritius,9
Mexico,7
Micronesia (Federated States of),0
Monaco,0
Mongolia,9
Montenegro,7
Morocco,4
Mozambique,3
Myanmar,3
Namibia,4
Nauru,5
Nepal,10
Netherlands,9
New Zealand,6
Nicaragua,0
Niger,9
Nigeria,10
Niue,7
North Macedonia,4
Norway,8
Oman,1
Pakistan,5
Palau,5
Panama,10
Papua New Guinea,6
Paraguay,7
Peru,0
Philippines,2
Poland,5
Portugal,7
Qatar,10
Republic of Korea,2
Republic of Moldova,9
Romania,3
Russian Federation,10
Rwanda,3
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,4
San Marino,0
Sao Tome and Principe,0
Saudi Arabia,8
Senegal,9
Serbia,4
Seychelles,9
Sierra Leone,0
Singapore,4
Slovakia,5
Slovenia,9
Solomon Islands,5
Somalia,0
South Africa,7
South Sudan,0
Spain,9
Sri Lanka,7
Sudan,7
Suriname,9
Sweden,4
Switzerland,0
Syrian Arab Republic,7
Tajikistan,3
Thailand,6
Timor-Leste,5
Togo,10
Tonga,6
Trinidad and Tobago,3
Tunisia,6
Turkey,10
Turkmenistan,9
Tuvalu,7
Uganda,10
Ukraine,6
United Arab Emirates,10
United Kingdom of Great Britain and Northern Ireland,6
United Republic of Tanzania,3
United States of America,0
Uruguay,10
Uzbekistan,2
Vanuatu,7
Venezuela (Bolivarian Republic of),3
Viet Nam,7
West Bank and Gaza Strip,9
Yemen,7
Zambia,1
Zimbabwe,2
