Country,Warn_Score
Albania,50
Algeria,15
Andorra,0
Angola,0
Antigua and Barbuda,50
Argentina,50
Armenia,50
Australia,83
Austria,65
Azerbaijan,30
Bahamas,^
Bahrain,50
Bangladesh,50
Barbados,60
Belarus,50
Belgium,65
Belize,^
Benin,75
Bhutan,^
Bolivia (Plurinational State of),50
Bosnia and Herzegovina,0
Botswana,0
Brazil,65
Brunei Darussalam,75
Bulgaria,65
Burkina Faso,60
Burundi,50
Cabo Verde,^
Cambodia,55
Cameroon,70
Canada,75
Central African Republic,^
Chad,70
Chile,50
China,35
Colombia,30
Comoros,40
Congo,30
Cook Islands,50
Costa Rica,50
Côte d'Ivoire,^
Croatia,65
Cuba,30
Cyprus,65
Czechia,65
Democratic People's Republic of Korea,^
Democratic Republic of the Congo,50
Denmark,65
Djibouti,50
Dominica,0
Dominican Republic,^
Ecuador,60
Egypt,50
El Salvador,50
Equatorial Guinea,0
Eritrea,30
Estonia,50
Eswatini,65
Ethiopia,30
Fiji,60
Finland,65
France,65
Gabon,63
Gambia,30
Georgia,65
Germany,65
Ghana,50
Greece,65
Grenada,0
Guatemala,13
Guinea,30
Guinea-Bissau,0
Guyana,60
Haiti,0
Honduras,50
Hungary,65
Iceland,35
India,85
Indonesia,40
Iran (Islamic Republic of),50
Iraq,30
Ireland,65
Israel,30
Italy,65
Jamaica,60
Japan,30
Jordan,40
Kazakhstan,50
Kenya,40
Kiribati,30
Kuwait,50
Kyrgyzstan,50
Lao People's Democratic Republic,75
Latvia,65
Lebanon,40
Lesotho,0
Liberia,0
Libya,25
Lithuania,65
Luxembourg,65
Madagascar,50
Malawi,0
Malaysia,55
Maldives,30
Mali,30
Malta,65
Marshall Islands,^
Mauritania,70
Mauritius,65
Mexico,65
Micronesia (Federated States of),0
Monaco,0
Mongolia,65
Montenegro,35
Morocco,^
Mozambique,28
Myanmar,75
Namibia,55
Nauru,30
Nepal,90
Netherlands,65
New Zealand,88
Nicaragua,50
Niger,50
Nigeria,50
Niue,90
North Macedonia,35
Norway,35
Oman,50
Pakistan,60
Palau,0
Panama,50
Papua New Guinea,50
Paraguay,40
Peru,50
Philippines,50
Poland,65
Portugal,65
Qatar,50
Republic of Korea,50
Republic of Moldova,65
Romania,65
Russian Federation,50
Rwanda,30
Saint Kitts and Nevis,0
Saint Lucia,50
Saint Vincent and the Grenadines,0
Samoa,60
San Marino,0
Sao Tome and Principe,^
Saudi Arabia,65
Senegal,70
Serbia,35
Seychelles,50
Sierra Leone,0
Singapore,50
Slovakia,65
Slovenia,65
Solomon Islands,50
Somalia,0
South Africa,20
South Sudan,0
Spain,65
Sri Lanka,80
Sudan,15
Suriname,50
Sweden,65
Switzerland,43
Syrian Arab Republic,15
Tajikistan,75
Thailand,85
Timor-Leste,93
Togo,65
Tonga,50
Trinidad and Tobago,50
Tunisia,30
Turkey,85
Turkmenistan,65
Tuvalu,30
Uganda,65
Ukraine,50
United Arab Emirates,50
United Kingdom of Great Britain and Northern Ireland,65
United Republic of Tanzania,30
United States of America,50
Uruguay,80
Uzbekistan,40
Vanuatu,90
Venezuela (Bolivarian Republic of),65
Viet Nam,50
West Bank and Gaza Strip,10
Yemen,50
Zambia,^
Zimbabwe,20
