Country,Ban_Score_places
Afghanistan,8
Albania,8
Algeria,4
Andorra,5
Angola,5
Antigua and Barbuda,8
Argentina,8
Armenia,3
Australia,6
Austria,2
Azerbaijan,3
Bahamas,0
Bahrain,0
Bangladesh,5
Barbados,8
Belarus,0
Belgium,1
Belize,0
Benin,8
Bhutan,7
Bolivia (Plurinational State of),4
Bosnia and Herzegovina,0
Botswana,0
Brazil,8
Brunei Darussalam,8
Bulgaria,8
Burkina Faso,8
Burundi,8
Cabo Verde,1
Cambodia,8
Cameroon,3
Canada,7
Central African Republic,0
Chad,8
Chile,8
China,1
Colombia,8
Comoros,5
Congo,8
Cook Islands,7
Costa Rica,8
Côte d'Ivoire,0
Croatia,6
Cuba,4
Cyprus,7
Czechia,4
Democratic People's Republic of Korea,7
Democratic Republic of the Congo,4
Denmark,1
Djibouti,6
Dominica,0
Dominican Republic,3
Ecuador,8
Egypt,8
El Salvador,8
Equatorial Guinea,0
Eritrea,0
Estonia,1
Eswatini,0
Ethiopia,3
Fiji,3
Finland,1
France,3
Gabon,5
Gambia,8
Georgia,7
Germany,0
Ghana,0
Greece,8
Grenada,0
Guatemala,8
Guinea,5
Guinea-Bissau,0
Guyana,8
Haiti,0
Honduras,8
Hungary,7
Iceland,1
India,6
Indonesia,4
Iran (Islamic Republic of),8
Iraq,3
Ireland,8
Israel,3
Italy,0
Jamaica,8
Japan,4
Jordan,4
Kazakhstan,5
Kenya,0
Kiribati,3
Kuwait,4
Kyrgyzstan,4
Lao People's Democratic Republic,8
Latvia,6
Lebanon,8
Lesotho,1
Liberia,0
Libya,8
Lithuania,4
Luxembourg,3
Madagascar,8
Malawi,0
Malaysia,0
Maldives,5
Mali,0
Malta,8
Marshall Islands,8
Mauritania,2
Mauritius,7
Mexico,1
Micronesia (Federated States of),6
Monaco,2
Mongolia,5
Montenegro,4
Morocco,5
Mozambique,1
Myanmar,5
Namibia,8
Nauru,8
Nepal,8
Netherlands,0
New Zealand,8
Nicaragua,6
Niger,4
Nigeria,0
Niue,8
North Macedonia,8
Norway,8
Oman,0
Pakistan,8
Palau,6
Panama,8
Papua New Guinea,8
Paraguay,6
Peru,8
Philippines,5
Poland,3
Portugal,6
Qatar,0
Republic of Korea,2
Republic of Moldova,5
Romania,8
Russian Federation,8
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,2
Saint Vincent and the Grenadines,0
Samoa,6
San Marino,5
Sao Tome and Principe,0
Saudi Arabia,6
Senegal,7
Serbia,5
Seychelles,8
Sierra Leone,0
Singapore,5
Slovakia,4
Slovenia,3
Solomon Islands,3
Somalia,0
South Africa,0
South Sudan,0
Spain,8
Sri Lanka,6
Sudan,0
Suriname,8
Sweden,0
Switzerland,0
Syrian Arab Republic,6
Tajikistan,8
Thailand,8
Timor-Leste,6
Togo,4
Tonga,7
Trinidad and Tobago,8
Tunisia,0
Turkey,8
Turkmenistan,8
Tuvalu,4
Uganda,8
Ukraine,7
United Arab Emirates,3
United Kingdom of Great Britain and Northern Ireland,8
United Republic of Tanzania,0
United States of America,1
Uruguay,8
Uzbekistan,1
Vanuatu,0
Venezuela (Bolivarian Republic of),8
Viet Nam,6
West Bank and Gaza Strip,8
Yemen,6
Zambia,7
Zimbabwe,4
