Country,Afford_2015
Afghanistan,4.995
Albania,3.92
Algeria,2.69
Andorra,1.07
Angola,3.31
Antigua and Barbuda,1.8849999999999998
Argentina,1.31
Armenia,3.945
Australia,2.285
Austria,1.225
Azerbaijan,2.055
Bahamas,1.9699999999999998
Bahrain,1.05
Bangladesh,3.58
Barbados,3.76
Belarus,0.6799999999999999
Belgium,1.56
Belize,5.325
Benin,11.195
Bolivia (Plurnational State of),4.505
Bosnia and Herzegovina,4.365
Botswana,4.404999999999999
Brazil,1.8900000000000001
Bulgaria,4.0649999999999995
Burkina Faso,14.45
Burundi,28.55
Cabo Verde,6.05
Cambodia,4.275
Cameroon,6.869999999999999
Canada,1.635
Chad,9.955
Chile,2.12
China,2.55
Colombia,1.57
Comoros,15.44
Congo,3.12
Cook Islands,7.705
Costa Rica,2.71
Côte d'Ivoire,10.25
Croatia,2.76
Cuba,10.41
Cyprus,1.805
Czechia,1.755
Democratic Republic of the Congo,20.009999999999998
Denmark,1.2149999999999999
Djibouti,7.025
Dominica,2.2
Dominican Republic,5.21
Ecuador,4.734999999999999
Egypt,3.105
El Salvador,5.615
Equatorial Guinea,0.33999999999999997
Eritrea,50.165
Estonia,2.31
Ethiopia,10.825
Fiji,8.33
Finland,1.385
France,1.98
Gabon,2.0300000000000002
Gambia,8.434999999999999
Georgia,2.8
Germany,1.52
Ghana,6.2
Greece,2.3
Guatemala,5.515000000000001
Guinea-Bissau,9.120000000000001
Guyana,3.75
Honduras,7.025
Hungary,2.825
Iceland,1.835
India,13.09
Indonesia,4.5600000000000005
Iran (Islamic Republic of),1.15
Iraq,0.65
Ireland,2.3449999999999998
Israel,2.0300000000000002
Italy,1.8650000000000002
Jamaica,14.215
Japan,1.06
Jordan,4.08
Kazakhstan,0.815
Kenya,8.28
Kiribati,26.98
Kuwait,0.5800000000000001
Kyrgyzstan,4.765000000000001
Lao People's Democratic Republic,4.68
Latvia,2.455
Lebanon,1.9
Lesotho,25.675
Liberia,11.765
Libya,3.51
Lithuania,2.1950000000000003
Luxembourg,0.55
Madagascar,23.96
Malawi,55.09
Malaysia,3.185
Maldives,2.525
Mali,17.335
Malta,2.4400000000000004
Marshall Islands,8.11
Mauritania,10.015
Mauritius,3.8899999999999997
Mexico,3.02
Micronesia (Federated States of),6.535
Mongolia,1.7349999999999999
Montenegro,2.145
Morocco,6.965
Mozambique,15.1
Myanmar,5.765000000000001
Namibia,6.2
Nepal,18.115000000000002
Netherlands,1.525
New Zealand,3.095
Nicaragua,7.125
Niger,19.6
Nigeria,4.395
North Macedonia,2.385
Norway,1.545
Oman,1.04
Pakistan,3.215
Palau,3.3049999999999997
Panama,3.3200000000000003
Papua New Guinea,23.455
Paraguay,0.6100000000000001
Peru,3.205
Philippines,1.74
Poland,2.87
Portugal,2.66
Qatar,0.27
Republic of Korea,0.88
Republic of Moldova,4.265
Romania,4.445
Russian Federation,1.075
Rwanda,13.55
Saint Kitts and Nevis,1.9
Saint Lucia,3.4299999999999997
Saint Vincent and the Grenadines,3.29
Samoa,9.309999999999999
San Marino,1.1099999999999999
Sao Tome and Principe,6.975
Saudi Arabia,1.0150000000000001
Senegal,6.73
Serbia,2.6550000000000002
Seychelles,4.279999999999999
Sierra Leone,10.125
Singapore,1.77
Slovakia,2.025
Slovenia,1.77
Solomon Islands,18.43
South Africa,4.484999999999999
Spain,2.085
Sri Lanka,11.86
Sudan,12.135
Suriname,2.855
Sweden,1.415
Switzerland,1.025
Tajikistan,7.9
Thailand,3.2800000000000002
Timor-Leste,2.825
Togo,13.335
Tonga,10.615
Trinidad and Tobago,1.695
Tunisia,3.495
Turkey,3.085
Turkmenistan,4.93
Tuvalu,12.035
Uganda,12.559999999999999
Ukraine,2.425
United Arab Emirates,0.5700000000000001
United Kingdom of Great Britain and Northern Ireland,2.5549999999999997
United Republic of Tanzania,19.4
United States of America,1.1549999999999998
Uruguay,2.245
Uzbekistan,4.865
Vanuatu,24.075
Venezuela (Bolivarian Republic of),7.18
Viet Nam,4.21
West Bank and Gaza Strip,18.759999999999998
Yemen,8.405
Zambia,8.74
Zimbabwe,10.3
