Country,Price_2015
Afghanistan,0.39499998
Albania,1.905
Algeria,1.905
Andorra,4.285
Angola,2.06
Antigua and Barbuda,2.96
Argentina,2.22
Armenia,1.37
Australia,15.85
Austria,6.06
Azerbaijan,1.78
Bahamas,7.975
Bahrain,3.325
Bangladesh,0.515
Barbados,7.215
Belarus,0.58
Belgium,7.385
Belize,2.5
Benin,0.935
Bolivia (Plurinational State of),1.52
Bosnia and Herzegovina,2.545
Botswana,3.1
Brazil,2.225
Bulgaria,2.995
Burkina Faso,1.06
Burundi,0.995
Cabo Verde,1.995
Cambodia,0.465
Cameroon,0.935
Canada,8.19
Central African Republic,1.02
Chad,1.3499999
Chile,3.13
China,1.905
Colombia,1.1
Comoros,1.5250001
Congo,1.1600001
Cook Islands,15.775001
Costa Rica,3.03
Côte d'Ivoire,1.31
Croatia,3.8049998
Cuba,7.0
Cyprus,5.01
Czechia,3.47
Democratic People's Republic of Korea,2.005
Democratic Republic of the Congo,0.93499994
Denmark,7.23
Djibouti,1.13
Dominica,1.58
Dominican Republic,3.345
Ecuador,4.1499996
Egypt,1.125
El Salvador,2.0
Equatorial Guinea,0.935
Eritrea,5.285
Estonia,4.45
Eswatini,2.905
Ethiopia,0.725
Fiji,4.99
Finland,7.0550003
France,8.575
Gabon,1.865
Gambia,0.835
Georgia,1.16
Germany,6.995
Ghana,1.04
Greece,4.8999996
Grenada,2.9850001
Guatemala,2.115
Guinea,0.39
Guinea-Bissau,0.73
Guyana,1.57
Haiti,1.32
Honduras,1.8199999
Hungary,4.19
Iceland,10.62
India,2.3249998
Indonesia,1.615
Iran (Islamic Republic of),0.575
Iraq,0.425
Ireland,12.42
Israel,9.025
Italy,6.235
Jamaica,7.475
Japan,4.205
Jordan,1.76
Kazakhstan,0.985
Kenya,1.21
Kiribati,4.495
Kuwait,2.565
Kyrgyzstan,0.745
Lao People's Democratic Republic,0.925
Latvia,3.67
Lebanon,2.16
Lesotho,3.27
Liberia,0.66499996
Libya,1.9100001
Lithuania,3.5500002
Luxembourg,6.235
Madagascar,1.2850001
Malawi,2.01
Malaysia,3.975
Maldives,2.76
Mali,1.395
Malta,6.1549997
Marshall Islands,2.3200002
Mauritania,1.3
Mauritius,3.8899999
Mexico,2.98
Micronesia (Federated States of),2.31
Mongolia,0.84000003
Montenegro,1.815
Morocco,2.2199998
Mozambique,0.745
Myanmar,0.69500005
Namibia,3.425
Nauru,8.27
Nepal,1.525
Netherlands,7.91
New Zealand,14.895
Nicaragua,1.62
Niger,0.935
Nigeria,1.06
Niue,9.71
North Macedonia,1.255
Norway,14.139999
Oman,2.4699998
Pakistan,0.56
Palau,6.0
Panama,4.25
Papua New Guinea,6.675
Paraguay,0.35500002
Peru,2.6750002
Philippines,0.74
Poland,4.0699997
Portugal,5.675
Qatar,2.75
Republic of Korea,3.225
Republic of Moldova,1.0450001
Romania,4.185
Russian Federation,1.725
Rwanda,0.885
Saint Kitts and Nevis,2.96
Saint Lucia,3.01
Saint Vincent and the Grenadines,2.22
Samoa,4.325
San Marino,5.62
Sao Tome and Principe,1.0
Saudi Arabia,2.935
Senegal,0.935
Serbia,1.965
Seychelles,6.995
Sierra Leone,0.67499995
Singapore,10.045
Slovakia,3.625
Slovenia,4.255
Solomon Islands,4.085
Somalia,0.49
South Africa,2.74
South Sudan,1.15
Spain,5.9049997
Sri Lanka,5.735
Sudan,2.895
Suriname,2.545
Sweden,7.945
Switzerland,8.98
Syrian Arab Republic,0.27
Tajikistan,0.855
Thailand,2.25
Timor-Leste,1.375
Togo,0.83500004
Tonga,5.055
Trinidad and Tobago,3.735
Tunisia,1.315
Turkey,3.57
Turkmenistan,4.76
Tuvalu,2.48
Uganda,0.91999996
Ukraine,0.66499996
United Arab Emirates,2.8600001
United Kingdom of Great Britain and Northern Ireland,11.815
United Republic of Tanzania,1.75
United States of America,6.33
Uruguay,3.525
Uzbekistan,0.975
Vanuatu,7.08
Venezuela (Bolivarian Republic of),14.32
Viet Nam,0.895
West Bank and Gaza Strip,6.085
Yemen,1.4649999
Zambia,1.565
Zimbabwe,1.525
