index,Country,Year,PPP
0,AUS,1960,0.700946
1,AUS,1961,0.701324
2,AUS,1962,0.68799
3,AUS,1963,0.698321
4,AUS,1964,0.708346
5,AUS,1965,0.7059449999999999
6,AUS,1966,0.70894
7,AUS,1967,0.711321
8,AUS,1968,0.70353
9,AUS,1969,0.7068800000000001
10,AUS,1970,0.686194
11,AUS,1971,0.694864
12,AUS,1972,0.713974
13,AUS,1973,0.765889
14,AUS,1974,0.8258549999999999
15,AUS,1975,0.860979
16,AUS,1976,0.9229700000000001
17,AUS,1977,0.9531930000000001
18,AUS,1978,0.963282
19,AUS,1979,0.976087
20,AUS,1980,0.9832290000000001
21,AUS,1981,0.986869
22,AUS,1982,1.041678
23,AUS,1983,1.087813
24,AUS,1984,1.112354
25,AUS,1985,1.137132
26,AUS,1986,1.195339
27,AUS,1987,1.241729
28,AUS,1988,1.302071
29,AUS,1989,1.3500860000000001
30,AUS,1990,1.3656059999999999
31,AUS,1991,1.347899
32,AUS,1992,1.327496
33,AUS,1993,1.311796
34,AUS,1994,1.300086
35,AUS,1995,1.309752
36,AUS,1996,1.311358
37,AUS,1997,1.307541
38,AUS,1998,1.298959
39,AUS,1999,1.29695
40,AUS,2000,1.311113
41,AUS,2001,1.328591
42,AUS,2002,1.33649
43,AUS,2003,1.355785
44,AUS,2004,1.365561
45,AUS,2005,1.388356
46,AUS,2006,1.403273
47,AUS,2007,1.426976
48,AUS,2008,1.4790729999999999
49,AUS,2009,1.4415129999999998
50,AUS,2010,1.501886
51,AUS,2011,1.511052
52,AUS,2012,1.540115
53,AUS,2013,1.447123
54,AUS,2014,1.452489
55,AUS,2015,1.4740790000000001
56,AUS,2016,1.451201
57,AUS,2017,1.444458
58,AUS,2018,1.4326940000000001
59,AUT,1960,0.9650799999999999
60,AUT,1961,1.006974
61,AUT,1962,1.0220200000000002
62,AUT,1963,1.043092
63,AUT,1964,1.058072
64,AUT,1965,1.087932
65,AUT,1966,1.084075
66,AUT,1967,1.088047
67,AUT,1968,1.0670389999999998
68,AUT,1969,1.042291
69,AUT,1970,1.01745
70,AUT,1971,1.028461
71,AUT,1972,1.060769
72,AUT,1973,1.086603
73,AUT,1974,1.091605
74,AUT,1975,1.063568
75,AUT,1976,1.064808
76,AUT,1977,1.0546360000000001
77,AUT,1978,1.0443799999999999
78,AUT,1979,1.004048
79,AUT,1980,0.9722559999999999
80,AUT,1981,0.9478700000000001
81,AUT,1982,0.940524
82,AUT,1983,0.9365049999999999
83,AUT,1984,0.948636
84,AUT,1985,0.946802
85,AUT,1986,0.955499
86,AUT,1987,0.955168
87,AUT,1988,0.93671
88,AUT,1989,0.928097
89,AUT,1990,0.921444
90,AUT,1991,0.9237620000000001
91,AUT,1992,0.934602
92,AUT,1993,0.9381430000000001
93,AUT,1994,0.9417209999999999
94,AUT,1995,0.939111
95,AUT,1996,0.9350120000000001
96,AUT,1997,0.931601
97,AUT,1998,0.9227780000000001
98,AUT,1999,0.9239059999999999
99,AUT,2000,0.907495
100,AUT,2001,0.922782
101,AUT,2002,0.899797
102,AUT,2003,0.8891530000000001
103,AUT,2004,0.8788790000000001
104,AUT,2005,0.8819389999999999
105,AUT,2006,0.8609180000000001
106,AUT,2007,0.8690180000000001
107,AUT,2008,0.854424
108,AUT,2009,0.843558
109,AUT,2010,0.842258
110,AUT,2011,0.831374
111,AUT,2012,0.8136479999999999
112,AUT,2013,0.797081
113,AUT,2014,0.798797
114,AUT,2015,0.798599
115,AUT,2016,0.7893640000000001
116,AUT,2017,0.780367
117,AUT,2018,0.786189
118,BEL,1960,0.861825
119,BEL,1961,0.8634639999999999
120,BEL,1962,0.8579530000000001
121,BEL,1963,0.871225
122,BEL,1964,0.895709
123,BEL,1965,0.9168
124,BEL,1966,0.922523
125,BEL,1967,0.925407
126,BEL,1968,0.905811
127,BEL,1969,0.89597
128,BEL,1970,0.888616
129,BEL,1971,0.8930600000000001
130,BEL,1972,0.910484
131,BEL,1973,0.924193
132,BEL,1974,0.954405
133,BEL,1975,0.9797020000000001
134,BEL,1976,0.998942
135,BEL,1977,1.010837
136,BEL,1978,0.986182
137,BEL,1979,0.951657
138,BEL,1980,0.908524
139,BEL,1981,0.8726440000000001
140,BEL,1982,0.884086
141,BEL,1983,0.898516
142,BEL,1984,0.9143950000000001
143,BEL,1985,0.9273819999999999
144,BEL,1986,0.934499
145,BEL,1987,0.9273100000000001
146,BEL,1988,0.915142
147,BEL,1989,0.922866
148,BEL,1990,0.914585
149,BEL,1991,0.910116
150,BEL,1992,0.9203100000000001
151,BEL,1993,0.93491
152,BEL,1994,0.934534
153,BEL,1995,0.926515
154,BEL,1996,0.9287979999999999
155,BEL,1997,0.9275770000000001
156,BEL,1998,0.935614
157,BEL,1999,0.931348
158,BEL,2000,0.8999889999999999
159,BEL,2001,0.8922559999999999
160,BEL,2002,0.8733
161,BEL,2003,0.877084
162,BEL,2004,0.889136
163,BEL,2005,0.8917879999999999
164,BEL,2006,0.8751770000000001
165,BEL,2007,0.8798229999999999
166,BEL,2008,0.8669399999999999
167,BEL,2009,0.849935
168,BEL,2010,0.8366389999999999
169,BEL,2011,0.8319110000000001
170,BEL,2012,0.8221370000000001
171,BEL,2013,0.8061659999999999
172,BEL,2014,0.800214
173,BEL,2015,0.799784
174,BEL,2016,0.7936479999999999
175,BEL,2017,0.781355
176,BEL,2018,0.783091
177,CAN,1960,0.953324
178,CAN,1961,0.9486700000000001
179,CAN,1962,0.9416260000000001
180,CAN,1963,0.9481069999999999
181,CAN,1964,0.9573139999999999
182,CAN,1965,0.963874
183,CAN,1966,0.977764
184,CAN,1967,0.9923040000000001
185,CAN,1968,0.980698
186,CAN,1969,0.9744799999999999
187,CAN,1970,0.9323969999999999
188,CAN,1971,0.930291
189,CAN,1972,0.944357
190,CAN,1973,0.9820209999999999
191,CAN,1974,1.037875
192,CAN,1975,1.051482
193,CAN,1976,1.091283
194,CAN,1977,1.097275
195,CAN,1978,1.0928579999999999
196,CAN,1979,1.109901
197,CAN,1980,1.120473
198,CAN,1981,1.133928
199,CAN,1982,1.162333
200,CAN,1983,1.18298
201,CAN,1984,1.182069
202,CAN,1985,1.18397
203,CAN,1986,1.1961950000000001
204,CAN,1987,1.22291
205,CAN,1988,1.234923
206,CAN,1989,1.2443469999999999
207,CAN,1990,1.240509
208,CAN,1991,1.237058
209,CAN,1992,1.227655
210,CAN,1993,1.214867
211,CAN,1994,1.206957
212,CAN,1995,1.208893
213,CAN,1996,1.2078659999999999
214,CAN,1997,1.200943
215,CAN,1998,1.185434
216,CAN,1999,1.1908100000000001
217,CAN,2000,1.22757
218,CAN,2001,1.221141
219,CAN,2002,1.229333
220,CAN,2003,1.226125
221,CAN,2004,1.2331459999999999
222,CAN,2005,1.213644
223,CAN,2006,1.205655
224,CAN,2007,1.2130809999999999
225,CAN,2008,1.2343899999999999
226,CAN,2009,1.20131
227,CAN,2010,1.221601
228,CAN,2011,1.2399040000000001
229,CAN,2012,1.244607
230,CAN,2013,1.224
231,CAN,2014,1.230358
232,CAN,2015,1.2480040000000001
233,CAN,2016,1.245164
234,CAN,2017,1.252006
235,CAN,2018,1.244715
236,CZE,1990,5.554944
237,CZE,1991,7.317937
238,CZE,1992,8.039031
239,CZE,1993,9.502788
240,CZE,1994,10.45242
241,CZE,1995,11.170141000000001
242,CZE,1996,12.087498
243,CZE,1997,12.904501
244,CZE,1998,13.987362
245,CZE,1999,14.22935
246,CZE,2000,14.330435999999999
247,CZE,2001,14.320313
248,CZE,2002,14.458321
249,CZE,2003,14.191735999999999
250,CZE,2004,14.439285
251,CZE,2005,14.562493
252,CZE,2006,14.429523000000001
253,CZE,2007,14.272567
254,CZE,2008,13.916713
255,CZE,2009,13.635638
256,CZE,2010,13.673097
257,CZE,2011,13.345304999999998
258,CZE,2012,13.297699
259,CZE,2013,12.785271
260,CZE,2014,12.70321
261,CZE,2015,12.934509
262,CZE,2016,12.808314999999999
263,CZE,2017,12.530576
264,CZE,2018,12.618271
265,DNK,1960,3.941534
266,DNK,1961,4.071686
267,DNK,1962,4.244655000000001
268,DNK,1963,4.424862999999999
269,DNK,1964,4.547297
270,DNK,1965,4.752777
271,DNK,1966,4.957231
272,DNK,1967,5.110157
273,DNK,1968,5.208318
274,DNK,1969,5.28073
275,DNK,1970,6.114064
276,DNK,1971,6.25234
277,DNK,1972,6.568716
278,DNK,1973,6.888828
279,DNK,1974,7.158536
280,DNK,1975,7.426717999999999
281,DNK,1976,7.699607
282,DNK,1977,7.892616
283,DNK,1978,8.034261
284,DNK,1979,7.943174000000001
285,DNK,1980,7.926969000000001
286,DNK,1981,8.016157000000002
287,DNK,1982,8.315605
288,DNK,1983,8.593213
289,DNK,1984,8.788248
290,DNK,1985,8.884391
291,DNK,1986,8.910658999999999
292,DNK,1987,9.109112
