Country,TITLE OF SURVEY,Year,REPRESENTATIVENESS,AGE GROUP (YEARS),CURRENT SMOKELESS TOBACCO USE PREVALENCE (%) (M),CURRENT SMOKELESS TOBACCO USE PREVALENCE (%) (F),CURRENT SMOKELESS TOBACCO USE PREVALENCE (%)(B),DAILY SMOKELESS TOBACCO USE PREVALENCE (%))(M),DAILY SMOKELESS TOBACCO USE PREVALENCE (%)(F),DAILY SMOKELESS TOBACCO USE PREVALENCE (%) (B),CURRENT E-CIGARETTE USE PREVALENCE (%) (M),CURRENT E-CIGARETTE USE PREVALENCE (%)) (F),CURRENT E-CIGARETTE USE PREVALENCE (%)(B),DAILY E-CIGARETTE USE PREVALENCE (%) (M),DAILY E-CIGARETTE USE PREVALENCE (%) (F),DAILY E-CIGARETTE USE PREVALENCE (%) (B)
Afghanistan,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Albania,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Algeria,Enquête STEPS,2016-17,National,18-69,17.3,0.4,8.9,15.5,0.3,7.6,. . .,. . .,. . .,. . .,. . .,. . .
Andorra,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Angola,Demographic and Health Survey,2015-16,National,15-49,2.6,0.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Antigua and Barbuda,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Argentina,Global Adult Tobacco Survey,2011-12,National,15+,0.1,0.2,0.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Armenia,STEPS Survey,2016,National,18-69,0.5,0.0,0.3,0.3,0.0,0.1,. . .,. . .,. . .,. . .,. . .,. . .
Australia,National Drug Strategy Household Survey,2013,National,14+,0.6,0.3,0.4,. . .,. . .,. . .,4.0,2.5,3.2,. . .,. . .,. . .
Austria,Repräsentativerhebung zum Substanzgebrauch (Representative Survey on Substance Use),2015,National,15+,2.8,0.5,1.6,0.8,0.1,0.5,4.9,2.8,3.9,1.4,0.6,1.0
Azerbaijan,National study of risk factors for noncommunicable diseases in Azerbaijan,2011,National,18+,0.2,0.0,0.2,0.0,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Bahamas,Bahamas STEPS,2012,National,25-64,0.9,0.1,0.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Bahrain,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Bangladesh,Global Adult Tobacco Survey,2017,National,15+,16.2,24.8,20.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Barbados,Barbados STEPS Survey,2007,National,25+,0.0,0.6,0.3,0.0,0.4,0.2,. . .,. . .,. . .,. . .,. . .,. . .
Belarus,STEPS Survey,2016-17,National,18-69,0.2,0.0,0.1,0.0,0.0,0.0,. . .,. . .,. . .,. . .,. . .,. . .
Belgium,Eurobarometer - Attitudes of Europeans towards tobacco and electronic cigarettes,2017,National,15+,. . .,. . .,1.0,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Belize,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Benin,L'Enquete STEPS Au Benin,2015,National,18-69,8.0,3.2,5.7,6.0,2.6,4.4,. . .,. . .,. . .,. . .,. . .,. . .
Bhutan,Bhutan STEPS Survey,2014,National,18-69,26.5,11.0,19.7,25.2,9.9,18.5,. . .,. . .,. . .,. . .,. . .,. . .
Bolivia (Plurinational State of),. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Bosnia and Herzegovina,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Botswana,Global Adult Tobacco Survey,2017,National,15+,2.1,6.3,4.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Brazil,Pesquisa Nacional de Saúde (National Health Survey),2013,National,18+,0.5,0.2,0.3,0.2,0.1,0.1,. . .,. . .,. . .,. . .,. . .,. . .
Brunei Darussalam,STEPS Survey,2016,National,18-69,1.7,2.1,1.9,0.3,0.0,0.2,29.5,4.3,16.7,9.1,0.9,4.9
Bulgaria,National survey on risk factors for population health in Bulgaria,2014,National,20+,. . .,. . .,2.2,. . .,. . .,0.2,4.9,4.3,4.6,. . .,. . .,. . .
Burkina Faso,"Enquête STEPs sur les facteurs de risque des maladies non transmissibles, Burkina Faso",2013,National,25-64,5.6,11.7,8.9,4.7,11.1,8.2,. . .,. . .,. . .,. . .,. . .,. . .
Burundi,Demographic and Health Survey,2016-17,National,15-59 (men) 15-49 (women),. . .,2.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Cabo Verde,Cap Vert Enquête STEPS,2007,National,25-64,3.5,5.8,4.7,2.6,4.6,3.6,. . .,. . .,. . .,. . .,. . .,. . .
Cambodia,National Adult Tobacco Survey of Cambodia,2014,National,15+,0.8,8.6,4.9,0.7,8.4,4.8,. . .,. . .,. . .,. . .,. . .,. . .
Cameroon,Global Adult Tobacco Survey (GATS),2013,National,15+,2.2,3.8,3.0,2.2,3.8,3.0,. . .,. . .,. . .,. . .,. . .,. . .
Canada,"Canadian Tobacco, Alcohol and Drugs Survey (CTADS)",2017,National,15+,1.5,<1,0.7,. . .,. . .,. . .,3.6,2.2,2.9,. . .,. . .,. . .
Central African Republic,STEPS survey (Bangui),2010,Subnational,25-64,17.3,15.5,16.3,13.8,11.3,12.4,0.0,0.0,0.0,0.0,0.0,0.0
Chad,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Chile,Encuesta nacional de Salud ,2016-17,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,1.4,1.6,1.5,. . .,. . .,. . .
China,Adult Tobacco Survey (GATS) - China,2015,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,0.9,0.2,0.5,. . .,. . .,. . .
Colombia,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Comoros,Comoros STEPS,2011,National,25-64,19.5,17.4,18.4,17.1,15.6,16.4,. . .,. . .,. . .,. . .,. . .,. . .
Congo,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Cook Islands,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Costa Rica,Global Adult Tobacco Survey,2015,National,15+,0.1,0.0,0.1,. . .,. . .,. . .,1.6,0.9,1.3,. . .,. . .,. . .
Côte d'Ivoire,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Croatia,Eurobarometer - Attitudes of Europeans towards tobacco and electronic cigarettes,2017,National,15+,. . .,. . .,1.0,. . .,. . .,. . .,. . .,. . .,0.0,. . .,. . .,. . .
Cuba,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Cyprus,Eurobarometer - Attitudes of Europeans towards tobacco and electronic cigarettes,2017,National,15+,. . .,. . .,1.0,. . .,. . .,. . .,. . .,. . .,3.0,. . .,. . .,. . .
Czechia,The use of tobacco in the Czech Republic,2017,National,15+,3.4,1.6,2.5,0.2,0.2,0.2,5.9,4.5,5.2,. . .,. . .,. . .
Democratic People's Republic of Korea,National Adult Tobacco Survey,2017,National,15+,0.0,0.0,0.0,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Democratic Republic of the Congo,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Denmark,Monitorering af danskernes rygevaner [Monitoring smoking habits in the Danish population],2017,National,15+,2.8,1.5,2.1,1.7,0.9,1.3,. . .,. . .,. . .,. . .,. . .,. . .
Djibouti,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Dominica,Dominica STEPS Survey,2007-08,National,15-64,1.6,0.0,0.8,0.9,0.0,0.5,. . .,. . .,. . .,. . .,. . .,. . .
Dominican Republic,Demographic and Health Survey,2007,National,15-49,1.9,0.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Ecuador,STEPS Survey,2018,National,18-69,0.0,0.0,0.0,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Egypt,STEPS Survey,2016-17,National,15-69,0.4,0.0,0.2,0.2,0.0,0.1,. . .,. . .,. . .,. . .,. . .,. . .
El Salvador,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Equatorial Guinea,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Eritrea,Eritrea STEPS survey,2010,National,25-64,11.6,0.1,2.2,10.8,0.1,2.0,. . .,. . .,. . .,. . .,. . .,. . .
Estonia,Health Behaviour among Estonian Adult Population,2018,National,16-64,9.2,2.3,5.1,1.6,0.3,0.8,14.9,7.4,10.5,2.6,0.8,1.5
Eswatini,Swaziland STEPS NCD Risk Factor Survey,2014,National,15-69,2.7,1.8,2.2,1.4,1.4,1.4,. . .,. . .,. . .,. . .,. . .,. . .
Ethiopia,Global Adult Tobacco Survey,2016,National,15+,2.6,0.8,1.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Fiji,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Finland,National FinSote Survey,2018,National,20-64,9.2,1.0,5.2,4.0,0.3,2.2,3.1,1.2,2.2,1.1,0.0,0.6
France,Eurobarometer - Attitudes of Europeans towards tobacco and electronic cigarettes,2017,National,15+,. . .,. . .,0.0,. . .,. . .,. . .,. . .,. . .,4.0,. . .,. . .,. . .
Gabon,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Gambia,Gambia STEPS Survey,2010,National,25-64,0.8,1.4,1.1,0.4,1.3,0.9,. . .,. . .,. . .,. . .,. . .,. . .
Georgia,STEPS Survey,2016,National,18-69,0.5,0.1,0.3,0.1,0.0,0.0,. . .,. . .,. . .,. . .,. . .,. . .
