Country,TITLE OF SURVEY,Year,REPRESENTATIVENESS,AGE GROUP (YEARS),CURRENT TOBACCO USE (M),CURRENT TOBACCO USE (F),CURRENT TOBACCO USE (B),DAILY TOBACCO USE (M),DAILY TOBACCO USE (F),DAILY TOBACCO USE (B),CURRENT TOBACCO SMOKING (M),CURRENT TOBACCO SMOKING (F),CURRENT TOBACCO SMOKING (B),DAILY TOBACCO SMOKING (M),DAILY TOBACCO SMOKING (F),DAILY TOBACCO SMOKING (B),CURRENT CIGARETTE SMOKING (M),CURRENT CIGARETTE SMOKING (F),CURRENT CIGARETTE SMOKING (B),DAILY CIGARETTE SMOKING (M),DAILY CIGARETTE SMOKING (F),DAILY CIGARETTE SMOKING (B)
Afghanistan,Demographic and Health Survey,2015,National,15-49,48.2,6.0,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,21.9,1.0,. . .,. . .,. . .,. . .
Albania,Demographic and Health Survey,2017-18,National,15-59 (men) 15-49 (women),. . .,. . .,. . .,. . .,. . .,. . .,35.9,4.6,. . .,. . .,. . .,. . .,35.7,4.5,. . .,. . .,. . .,. . .
Algeria,Enquête STEPS,2016-17,National,18-69,42.6,0.7,21.8,. . .,. . .,. . .,32.2,0.4,16.5,28.1,0.3,14.3,. . .,. . .,. . .,. . .,. . .,. . .
Andorra,Enquesta Nacional de Salut d'Andorra,2011,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,37.4,27.7,. . .,35.3,25.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Angola,Demographic and Health Survey,2015-16,National,15-49,15.7,1.9,. . .,. . .,. . .,. . .,14.3,1.8,. . .,8.8,1.0,. . .,14.3,1.8,. . .,. . .,. . .,. . .
Antigua and Barbuda,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Argentina,Encuesta Nacional de Factores de Riesgo Para Enfermedades No Transmisibles,2013,National,18+,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,29.9,20.9,25.1,. . .,. . .,. . .
Armenia,Health System Performance Assessment Survey,2016,National,16+,. . .,. . .,. . .,. . .,. . .,. . .,55.8,3.0,27.7,53.4,2.3,26.2,. . .,. . .,. . .,. . .,. . .,. . .
Australia,National Drug Strategy Household Survey,2016,National,14+,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,14.9,13.8,10.7,12.2
Austria,Eurobarometer - Attitudes of Europeans towards tobacco and electronic cigarettes,2017,National,15+,. . .,. . .,. . .,. . .,. . .,27.0,34.0,23.0,28.0,. . .,. . .,27.0,. . .,. . .,. . .,. . .,. . .,. . .
Azerbaijan,National study of risk factors for noncommunicable diseases in Azerbaijan,2017,National,18-69,. . .,. . .,24.0,. . .,. . .,. . .,48.8,0.2,. . .,47.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Bahamas,Bahamas National household Drug Prevalence Survey,2017,National,12-65,. . .,. . .,. . .,. . .,. . .,. . .,11.7,2.2,6.8,6.8,1.4,4.2,. . .,. . .,. . .,. . .,. . .,. . .
Bahrain,National Non-Communicable Diseases Risk Factor Survey,2007,National,20-64,. . .,. . .,. . .,. . .,. . .,. . .,33.4,7.0,19.9,30.6,5.7,17.9,27.0,1.2,13.8,26.0,1.2,13.3
Bangladesh,Global Adult Tobacco Survey,2017,National,15+,46.0,25.2,35.3,. . .,. . .,. . .,36.2,0.8,18.0,33.1,0.7,16.4,28.7,0.2,14.0,. . .,. . .,. . .
Barbados,Health of the Nation,2011-12,National,25+,. . .,. . .,. . .,. . .,. . .,. . .,15.5,3.7,9.2,11.0,2.3,6.4,. . .,. . .,. . .,. . .,. . .,. . .
Belarus,STEPS Survey,2016-17,National,18-69,48.4,12.6,29.6,45.7,10.2,27.1,48.4,12.6,29.6,45.7,10.2,27.1,. . .,. . .,. . .,. . .,. . .,. . .
