Country,HEALTH WARNINGS ARE MANDATED,"AVERAGE OF FRONT AND REAR
%","FRONT
%","REAR
%",DOES THE LAW MANDATE SPECIFIC HEALTH WARNINGS ON PACKAGES?,HOW MANY HEALTH WARNINGS ARE APPROVED BY THE LAW?,DO HEALTH WARNINGS APPEAR ON EACH PACKAGE AND ANY OUTSIDE PACKAGING AND LABELLING USED IN THE RETAIL SALE?,DO HEALTH WARNINGS DESCRIBE THE HARMFUL EFFECTS OF TOBACCO USE ON HEALTH?,"DOES THE LAW MANDATE FONT STYLE, FONT SIZE AND COLOUR OF HEALTH WARNINGS?",ARE THE HEALTH WARNINGS ROTATING?,ARE THE HEALTH WARNINGS WRITTEN IN THE PRINCIPAL LANGUAGE(S) OF THE COUNTRY?,DO THE HEALTH WARNINGS INCLUDE A PHOTOGRAPH OR GRAPHIC?
Afghanistan,Yes,—,—,—,No,—,Yes,No,No,No,No,No
Albania,Yes,50,50,50,Yes,16,Yes,Yes,Yes,Yes,Yes,No
Algeria,Yes,15,15,15,Yes,6,Yes,Yes,No,Yes,Yes,No
Andorra,No,—,—,—,—,—,—,—,—,—,—,—
Angola,No,—,—,—,—,—,—,—,—,—,—,—
Antigua and Barbuda,Yes,50,50,50,No,—,Yes,No,Yes,Yes,Yes,No
Argentina,Yes,50,50,50,Yes,10,Yes,Yes,Yes,Yes,Yes,Yes
Armenia,Yes,50,50,50,Yes,12,Yes,Yes,Yes,Yes,Yes,Yes
Australia,Yes,83,75,90,Yes,14,Yes,Yes,Yes,Yes,Yes,Yes
Austria,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Azerbaijan,Yes,30,30,30,Yes,1,Yes,No,Yes,No,Yes,No
Bahamas,Yes,^,^,^,No,—,Yes,No,No,No,No,No
Bahrain,Yes,50,50,50,Yes,4,No,Yes,Yes,Yes,Yes,Yes
Bangladesh,Yes,50,50,50,Yes,7,Yes,Yes,Yes,Yes,Yes,Yes
Barbados,Yes,60,60,60,Yes,16,Yes,Yes,Yes,Yes,Yes,Yes
Belarus,Yes,50,50,50,Yes,12,Yes,Yes,Yes,Yes,Yes,Yes
Belgium,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Belize,Yes,^,^,^,Yes,1,No,No,Yes,No,Yes,No
Benin,Yes,75,75,75,Yes,1,Yes,No,No,Yes,No,No
Bhutan,Yes,^,^,^,No,—,No,No,No,No,No,No
Bolivia (Plurinational State of),Yes,50,50,50,Yes,8,Yes,Yes,Yes,Yes,Yes,Yes
Bosnia and Herzegovina,No,—,—,—,—,—,—,—,—,—,—,—
Botswana,No,—,—,—,—,—,—,—,—,—,—,—
Brazil,Yes,65,30,100,Yes,9,Yes,Yes,Yes,Yes,Yes,Yes
Brunei Darussalam,Yes,75,75,75,Yes,7,Yes,Yes,Yes,Yes,Yes,Yes
Bulgaria,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Burkina Faso,Yes,60,60,60,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes
Burundi,Yes,50,50,50,No,—,Yes,No,No,No,Yes,No
Cabo Verde,Yes,^,^,^,No,—,No,No,No,No,No,No
Cambodia,Yes,55,55,55,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes
Cameroon,Yes,70,70,70,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes
Canada,Yes,75,75,75,Yes,16,Yes,Yes,Yes,Yes,Yes,Yes
Central African Republic,Yes,^,^,^,Yes,1,No,No,No,No,No,No
Chad,Yes,70,70,70,Yes,4,Yes,Yes,Yes,Yes,Yes,Yes
