COUNTRY,NATIONAL TV AND RADIO,INTERNATIONAL TV AND RADIO,LOCAL MAGAZINES AND NEWSPAPERS,INTERNATIONAL MAGAZINES AND NEWSPAPERS,BILLBOARD AND OUTDOOR ADVERTISING,POINT OF SALE,INTERNET,FINES FOR VIOLATIONS OF BANS ON DIRECT ADVERTISING,OVERALL COMPLIANCE OF BAN ON DIRECT ADVERTISING *
Afghanistan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Albania,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Algeria,Yes,Yes,Yes,Yes,Yes,No,No,No,5
Andorra,No,No,No,No,No,No,No,No,—
Angola,No,No,No,No,No,No,No,No,—
Antigua and Barbuda,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,—
Argentina,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,8
Armenia,Yes,Yes,No,No,Yes,No,Yes,Yes,5
Australia,Yes,Yes,Yes,No,Yes,No,Yes,Yes,10
Austria,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,10
Azerbaijan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Bahamas,Yes,Yes,No,No,No,No,No,Yes,. . .
Bahrain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,8
Bangladesh,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Barbados,No,No,No,No,No,No,No,No,—
Belarus,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,8
Belgium,Yes,Yes,Yes,No,Yes,No,Yes,Yes,10
Belize,No,No,No,No,No,No,No,No,—
Benin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
Bhutan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Bolivia (Plurinational State of),Yes,Yes,Yes,Yes,Yes,No,No,Yes,1
Bosnia and Herzegovina,Yes,Yes,Yes,Yes,Yes,No,No,Yes,8
Botswana,Yes,No,Yes,No,Yes,Yes,Yes,Yes,. . .
Brazil,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Brunei Darussalam,Yes,No,Yes,No,Yes,Yes,No,Yes,10
Bulgaria,Yes,Yes,Yes,No,No,No,Yes,Yes,7
Burkina Faso,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,6
Burundi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,—
Cabo Verde,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
Cambodia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
Cameroon,Yes,Yes,Yes,Yes,Yes,No,No,Yes,. . .
Canada,Yes,No,Yes,No,Yes,No,Yes,Yes,10
Central African Republic,No,No,No,No,No,No,No,No,—
Chad,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,7
Chile,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
China,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,9
Colombia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Comoros,Yes,Yes,No,No,Yes,No,No,Yes,5
