COUNTRY,FREE DISTRIBUTION IN MAIL OR THROUGH OTHER MEANS,PROMOTIONAL DISCOUNTS,NON-TOBACCO PRODUCTS IDENTIFIED WITH TOBACCO BRAND NAMES,BRAND NAME OF NON-TOBACCO PRODUCTS USED FOR TOBACCO PRODUCT,TOBACCO BRANDS (PRODUCT PLACEMENT),TOBACCO PRODUCTS,"PRESCRIBED ANTI-TOBACCO ADS REQUIRED FOR ANY VISUAL ENTERTAINMENT MEDIA PRODUCT THAT DEPICTS TOBACCO PRODUCTS, USE OR IMAGES",COMPLETE BAN ON SPONSORSHIP,"ANY FORM OF CONTRIBUTION (FINANCIAL OR OTHER SUPPORT) TO ANY EVENT, ACTIVITY OR INDIVIDUAL","BAN ON THE PUBLICITY OF FINANCIAL OR OTHER SPONSORSHIP OR SUPPORT BY THE TOBACCO INDUSTRY OF EVENTS, ACTIVITIES, INDIVIDUALS",FINES FOR VIOLATIONS OF BANS ON PROMOTION AND SPONSORSHIP,OVERALL COMPLIANCE OF BANS ON PROMOTION AND SPONSORSHIP *
Afghanistan,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,–,Yes,3
Albania,Yes,Yes,Yes,Yes,Yes,Yes,–,No,No,Yes,Yes,8
Algeria,No,No,No,No,No,No,No,No,No,No,–,—
Andorra,No,No,No,No,No,No,No,No,No,No,–,—
Angola,No,No,No,No,No,No,No,No,No,No,–,—
Antigua and Barbuda,Yes,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,No,—
Argentina,Yes,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,7
Armenia,Yes,No,No,No,No,No,No,No,No,No,Yes,3
Australia,No,No,Yes,No,Yes,No,No,No,No,No,No,10
Austria,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,7
Azerbaijan,Yes,Yes,Yes,Yes,Yes,Yes,–,No,No,Yes,Yes,8
Bahamas,No,No,No,No,No,No,No,No,No,No,–,—
Bahrain,Yes,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,10
Bangladesh,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,5
Barbados,No,No,No,No,No,No,No,No,No,No,–,—
Belarus,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,3
Belgium,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,8
Belize,No,No,No,No,No,No,No,No,No,No,–,—
Benin,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,7
Bhutan,Yes,Yes,Yes,No,No,Yes,–,No,No,Yes,Yes,10
Bolivia (Plurinational State of),No,No,No,No,No,No,No,No,No,Yes,Yes,3
Bosnia and Herzegovina,No,No,No,No,Yes,No,No,No,No,No,Yes,5
