COUNTRY,HEALTH-CARE FACILITIES,EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES,UNIVERSITIES,GOVERNMENT FACILITIES,INDOOR OFFICES,RESTAURANTS,PUBS AND BARS,PUBLIC TRANSPORT,ALL OTHER INDOOR PUBLIC PLACES
Afghanistan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Albania,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Algeria,Yes,Yes,Yes,No,No,No,Yes,No,—
Andorra,Yes,Yes,Yes,Yes,Re,Re,Re,Yes,—
Angola,Yes,Yes,Yes,Yes,No,No,No,Yes,—
Antigua and Barbuda,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Argentina,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Armenia,Yes,Yes,Yes,No,No,No,No,No,—
Australia,Yes,No,No,Yes,Yes,Yes,Yes,Yes,—
Austria,No,Yes,No,No,No,No,No,Yes,—
Azerbaijan,Yes,Yes,Yes,Re,Re,Re,Re,Re,—
Bahamas,No,No,No,No,No,No,No,No,—
Bahrain,No,No,No,No,No,Re,Re,No,—
Bangladesh,Yes,Yes,Yes,Yes,Yes,No,No,No,—
Barbados,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Belarus,No,No,No,No,No,No,No,No,—
Belgium,Re,Re,Re,Re,Re,Re,Re,Yes,Re
Belize,No,No,No,No,No,No,No,No,—
Benin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Bhutan,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,—
Bolivia (Plurinational State of),Yes,Yes,No,Yes,No,No,No,Yes,—
Bosnia and Herzegovina,No,No,No,No,No,No,No,No,—
Botswana,No,No,No,No,No,No,No,No,—
Brazil,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Re
Brunei Darussalam,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Bulgaria,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Burkina Faso,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Burundi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Cabo Verde,No,No,No,No,No,No,No,Yes,—
Cambodia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Cameroon,Yes,Yes,Yes,No,No,No,No,No,—
Canada,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,—
