COUNTRY,EXISTENCE OF GOVERNMENT OBJECTIVES ON TOBACCO CONTROL,EXISTENCE OF AGENCY,NUMBER OF FULL-TIME-EQUIVALENT STAFF ,IN REPORTED CURRENCY,CURRENCY REPORTED #,BUDGET YEAR
Afghanistan,Yes,Yes,. . .,. . .,. . .,. . .
Albania,Yes,Yes,300, 1 680 000,ALL,2008
Algeria,Yes,Yes,2, 324 753 406,DZD,2010
Andorra,Yes,No,—,. . .,. . .,. . .
Angola,Yes,Yes,. . .,. . .,. . .,. . .
Antigua and Barbuda,No,Yes,. . .,. . .,. . .,. . .
Argentina,Yes,Yes,4,  280 240,USD,2010
Armenia,Yes,Yes,1,  100 000,AMD,2014
Australia,Yes,Yes,34.8,. . .,. . .,2018
Austria,Yes,Yes,4,  50 000,EUR,2018
Azerbaijan,Yes,Yes,. . .,. . .,. . .,. . .
Bahamas,Yes,Yes,. . .,. . .,. . .,. . .
Bahrain,Yes,Yes,. . .,. . .,. . .,. . .
Bangladesh,Yes,Yes,2, 1 430 000,USD,2018
Barbados,Yes,Yes,2.5,. . .,. . .,. . .
Belarus,Yes,Yes,. . .,. . .,. . .,. . .
Belgium,Yes,Yes,. . ., 1 093 461,EUR,2016
Belize,Yes,Yes,2.5,  12 400,USD,2006
Benin,Yes,Yes,3,. . .,. . .,. . .
Bhutan,Yes,Yes,14,  23 000,USD,2014
Bolivia (Plurinational State of),Yes,Yes,1,. . .,. . .,. . .
Bosnia and Herzegovina,Yes,Yes,. . .,. . .,. . .,. . .
Botswana,Yes,Yes,5,. . .,. . .,2018
Brazil,Yes,Yes,25, 33 700 000,BRL,2015
Brunei Darussalam,Yes,Yes,14,. . .,. . .,2018
Bulgaria,Yes,No,1,. . .,BGN,2018
Burkina Faso,Yes,Yes,6, 5 400 000,XOF,2005
Burundi,Yes,Yes,13, 12 500 000,BIF,2012
Cabo Verde,Yes,Yes,1.5, 1 571 625,CVE,2005
Cambodia,Yes,Yes,6, 99 000 000,KHR,2018
Cameroon,Yes,Yes,9, 25 000 000,XAF,2008
Canada,Yes,Yes,105, 44 400 000,CAD,2018
Central African Republic,Yes,Yes,2, 8 400 000,XAF,2005
Chad,Yes,Yes,6, 122 500 000,FCFA,2018
Chile,Yes,Yes,3, 75 000 000,CLP,2015
China,Yes,Yes,27, 20 000 000,CNY,2008
Colombia,Yes,Yes,. . .,. . .,. . .,. . .
Comoros,Yes,Yes,4, 8 700 000,KMF,2005
Congo,Yes,Yes,1, 7 972 000,XAF,2016
Cook Islands,Yes,Yes,2,  50 000,NZD,2008
Costa Rica,No,Yes,2, 49 700 000,USD,2018
Côte d'Ivoire,Yes,Yes,20, 100 681 000,XOF,2008
Croatia,Yes,Yes,1,  239 000,HRK,2008
Cuba,Yes,Yes,5,  137 500,CUP,2008
Cyprus,Yes,Yes,2,  33 965,EUR,2008
Czechia,Yes,No,—,. . .,. . .,. . .
Democratic People's Republic of Korea,Yes,Yes,8,. . .,. . .,. . .
Democratic Republic of the Congo,Yes,Yes,. . .,. . .,. . .,. . .
Denmark,Yes,Yes,. . .,. . .,. . .,. . .
Djibouti,Yes,Yes,1,  520 000,DJF,2006
Dominica,No,Yes,3,. . .,. . .,. . .
Dominican Republic,No,No,—,. . .,. . .,. . .
Ecuador,Yes,Yes,2,  785 848,USD,2012
Egypt,Yes,Yes,3,  30 000,USD,2008
El Salvador,Yes,Yes,44, 1 240 000,USD,2018
Equatorial Guinea,No,No,—,. . .,. . .,. . .
Eritrea,Yes,Yes,2,. . .,. . .,. . .
Estonia,Yes,Yes,1.75,. . .,. . .,2018
Eswatini,No,Yes,1,. . .,. . .,. . .
Ethiopia,Yes,Yes,7,. . .,. . .,. . .
Fiji,Yes,Yes,8,  200 000,FJD,2016
Finland,Yes,Yes,. . ., 2 100 000,EUR,2016
France,Yes,Yes,. . ., 100 000 000,EUR,2018
Gabon,Yes,Yes,2,. . .,. . .,. . .
Gambia,Yes,Yes,1,. . .,. . .,. . .
Georgia,Yes,Yes,3,  800 000,GEL,2018
Germany,Yes,Yes,4, 4 500 000,EUR,2008
Ghana,Yes,Yes,0.5,  25 000,GHS,2010
Greece,Yes,Yes,1,. . .,. . .,. . .
Grenada,Yes,Yes,. . .,. . .,. . .,. . .
Guatemala,Yes,No,—,. . .,. . .,. . .
Guinea,Yes,Yes,5,. . .,. . .,. . .
Guinea-Bissau,No,No,—,. . .,. . .,. . .
Guyana,Yes,Yes,2, 2 000 000,GYD,2010
Haiti,No,Yes,0,. . .,. . .,. . .
Honduras,Yes,Yes,54,. . .,. . .,2014
Hungary,Yes,Yes,3, 70 000 000,HUF,2018
Iceland,Yes,Yes,2, 70 000 000,ISK,2008
India,Yes,Yes,1489,1 044 700 000,INR,2018
Indonesia,Yes,Yes,12,8 558 540 000,IDR,2008
Iran (Islamic Republic of),Yes,Yes,20, 1 500 000,USD,2014
Iraq,Yes,Yes,22,. . .,. . .,. . .
Ireland,Yes,Yes,4.8,. . .,. . .,2018
Israel,. . .,. . .,. . .,. . .,. . .,. . .
Italy,Yes,Yes,2, 10 000 000,EUR,2015
Jamaica,Yes,Yes,1, 1 400 000,JMD,2008
Japan,Yes,Yes,2,. . .,. . .,2010
Jordan,Yes,Yes,4,  85 000,JOD,2018
Kazakhstan,Yes,Yes,1, 70 000 000,KZT,2010
Kenya,Yes,Yes,2,  45 000,USD,2007
Kiribati,Yes,Yes,1,. . .,. . .,. . .
Kuwait,Yes,Yes,0,  240 000,KWD,2008
Kyrgyzstan,Yes,Yes,20, 12 000 000,KGS,2016
Lao People's Democratic Republic,Yes,Yes,2, 60 000 000,LAK,2018
Latvia,Yes,Yes,2,. . .,. . .,. . .
Lebanon,Yes,Yes,6,  30 000,USD,2007
Lesotho,Yes,Yes,2,  100 000,LSL,2009
Liberia,Yes,Yes,2,. . .,. . .,. . .
Libya,Yes,Yes,. . .,. . .,. . .,. . .
Lithuania,Yes,Yes,. . .,. . .,. . .,. . .
Luxembourg,Yes,Yes,1,  130 880,EUR,2018
Madagascar,Yes,Yes,13, 88 000 000,MGA,2008
Malawi,No,No,—,. . .,. . .,. . .
Malaysia,Yes,Yes,10,. . .,. . .,. . .
Maldives,Yes,Yes,3,  91 668,MVR,2015
Mali,Yes,Yes,1, 5 000 000,XOF,2008
Malta,Yes,Yes,1,  32 347,EUR,2008
Marshall Islands,Yes,Yes,5,. . .,. . .,. . .
Mauritania,No,No,—,. . .,. . .,. . .
Mauritius,Yes,Yes,1, 10 000 000,MUR,2016
Mexico,Yes,Yes,5, 140 131 205,MXN,2016
Micronesia (Federated States of),Yes,Yes,8,  210 000,USD,2018
Monaco,. . .,. . .,. . .,. . .,. . .,. . .
Mongolia,Yes,Yes,9, 70 000 000,MNT,2018
Montenegro,Yes,Yes,. . .,. . .,. . .,. . .
Morocco,Yes,Yes,1,. . .,. . .,. . .
Mozambique,Yes,No,—,. . .,. . .,. . .
Myanmar,Yes,Yes,3, 10 080 000,MMK,2016
Namibia,No,No,—,  265 000,NAD,2008
Nauru,Yes,Yes,1,. . .,. . .,. . .
Nepal,Yes,Yes,7, 5 000 000,NPR,2016
Netherlands,Yes,Yes,. . ., 12 000 000,EUR,2008
New Zealand,Yes,Yes,8, 45 000 000,NZD,2018
Nicaragua,Yes,Yes,1,. . .,. . .,. . .
Niger,No,Yes,2,0,XOF,2010
Nigeria,Yes,Yes,58, 5 500 000,NGN,2007
Niue,Yes,Yes,2,. . .,. . .,. . .
North Macedonia,Yes,Yes,2,. . .,. . .,. . .
Norway,Yes,Yes,8, 19 000 000,NOK,2018
Oman,Yes,Yes,2,. . .,. . .,. . .
Pakistan,Yes,Yes,6, 3 600 000,PKR,2014
Palau,Yes,Yes,3,. . .,. . .,2006
Panama,Yes,Yes,. . ., 13 700 000,PAB,. . .
Papua New Guinea,Yes,Yes,1,—,PGK,2018
Paraguay,Yes,Yes,0, 374 852 508,PYG,2010
Peru,Yes,No,—,. . .,. . .,. . .
Philippines,Yes,Yes,3, 1 000 000,PHP,2007
Poland,Yes,Yes,. . ., 1 000 000,PLN,2008
Portugal,Yes,Yes,1.3,. . .,. . .,. . .
Qatar,Yes,Yes,6, 2 000 000,QAR,2018
Republic of Korea,Yes,Yes,6,259 400 000 000,KRW,2018
Republic of Moldova,Yes,Yes,3, 1 700 000,MDL,2010
Romania,Yes,Yes,3,  583 000,RON,2018
Russian Federation,Yes,Yes,. . ., 67 886 399,RUB,2016
Rwanda,Yes,Yes,. . .,. . .,. . .,. . .
Saint Kitts and Nevis,Yes,No,—,. . .,. . .,. . .
Saint Lucia,Yes,Yes,. . .,. . .,. . .,. . .
Saint Vincent and the Grenadines,No,No,—,. . .,. . .,. . .
Samoa,Yes,Yes,2,  120 000,WST,2008
San Marino,Yes,Yes,. . .,. . .,. . .,. . .
Sao Tome and Principe,Yes,Yes,. . .,. . .,. . .,. . .
Saudi Arabia,Yes,Yes,100, 18 000 000,SAR,2008
Senegal,Yes,Yes,8, 37 000 000,XOF,2007
Serbia,Yes,Yes,2, 2 000 000,RSD,2016
Seychelles,No,Yes,1,  20 000,USD,2006
Sierra Leone,Yes,Yes,. . .,. . .,. . .,. . .
Singapore,Yes,Yes,29,. . .,. . .,. . .
Slovakia,Yes,Yes,2,  658 320,SKK,2004
Slovenia,Yes,Yes,2,  400 000,EUR,2018
Solomon Islands,Yes,Yes,2,  900 000,SBD,2012
Somalia,No,Yes,0,. . .,. . .,. . .
South Africa,Yes,Yes,2,. . .,. . .,2018
South Sudan,. . .,. . .,. . .,. . .,. . .,. . .
Spain,Yes,Yes,. . .,. . .,. . .,. . .
Sri Lanka,Yes,Yes,10, 63 000 000,LKR,2016
Sudan,Yes,Yes,5,  960 000,SDG,2008
Suriname,Yes,No,2,. . .,. . .,2018
Sweden,Yes,Yes,15, 40 000 000,SEK,2010
Switzerland,Yes,Yes,6,. . .,. . .,. . .
Syrian Arab Republic,Yes,Yes,13, 2 000 000,SYP,2018
Tajikistan,No,. . .,. . .,. . .,. . .,. . .
Thailand,Yes,Yes,41, 30 340 233,THB,2015
Timor-Leste,Yes,Yes,1,   180,USD,2008
Togo,Yes,Yes,0.7, 20 000 000,XOF,2005
Tonga,Yes,Yes,2,. . .,. . .,. . .
Trinidad and Tobago,Yes,Yes,2,. . .,. . .,. . .
Tunisia,Yes,Yes,1,. . .,. . .,. . .
Turkey,Yes,Yes,8, 2 000 000,TRY,2010
Turkmenistan,Yes,Yes,. . .,. . .,. . .,. . .
Tuvalu,Yes,Yes,17,  3 000,AUD,2012
Uganda,Yes,Yes,2, 5 000 000,UGX,2006
Ukraine,Yes,Yes,1,. . .,. . .,2018
United Arab Emirates,Yes,Yes,0,. . .,. . .,. . .
United Kingdom of Great Britain and Northern Ireland,Yes,Yes,. . .,. . .,. . .,. . .
United Republic of Tanzania,Yes,Yes,. . ., 42 133 108,TZS,2008
United States of America,Yes,Yes,. . .,. . .,. . .,. . .
Uruguay,Yes,Yes,7,. . .,. . .,. . .
Uzbekistan,Yes,Yes,. . .,. . .,. . .,. . .
Vanuatu,Yes,No,—,  1 000,USD,2012
Venezuela (Bolivarian Republic of),Yes,Yes,30,  277 171,VEF,2008
Viet Nam,Yes,Yes,21, 12 000 000,USD,2018
West Bank and Gaza Strip,No,No,—,  30 000,USD,2006
Yemen,Yes,Yes,5,  35 500,USD,2007
Zambia,No,Yes,5,  37 257,USD,2008
Zimbabwe,Yes,Yes,1,. . .,. . .,. . .
