Country,TITLE OF SURVEY,Year,REPRESENTATIVENESS,AGE GROUP (YEARS),CURRENT SMOKELESS TOBACCO USE PREVALENCE (%) (M),CURRENT SMOKELESS TOBACCO USE PREVALENCE (%) (F),CURRENT SMOKELESS TOBACCO USE PREVALENCE (%)(B),DAILY SMOKELESS TOBACCO USE PREVALENCE (%))(M),DAILY SMOKELESS TOBACCO USE PREVALENCE (%)(F),DAILY SMOKELESS TOBACCO USE PREVALENCE (%) (B),CURRENT E-CIGARETTE USE PREVALENCE (%) (M),CURRENT E-CIGARETTE USE PREVALENCE (%)) (F),CURRENT E-CIGARETTE USE PREVALENCE (%)(B),DAILY E-CIGARETTE USE PREVALENCE (%) (M),DAILY E-CIGARETTE USE PREVALENCE (%) (F),DAILY E-CIGARETTE USE PREVALENCE (%) (B)
Afghanistan,Global Youth Tobacco Survey (Kabul),2017,Subnational,13-15,4.8,3.3,4.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Albania,Global Youth Tobacco Survey,2015,National,13-15,2.4,1.4,2,. . .,. . .,. . .,8.6,2.7,5.8,. . .,. . .,. . .
Algeria,Global Youth Tobacco Survey,2013,National,13-15,6.9,0.8,3.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Andorra,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Angola,Global Youth Tobacco Survey (Huambo),2010,Subnational,13-15,18,19,18.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Antigua and Barbuda,Global Youth Tobacco Survey,2017,National,13-15,2.6,1.6,2.1,. . .,. . .,. . .,4,3.7,4,. . .,. . .,. . .
Argentina,Global Youth Tobacco Survey,2012,National,13-15,4.4,3,3.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Armenia,Global Youth Tobacco Survey,2009,National,13-15,6,3,4.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Australia,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Austria,ESPAD,2015,National,15-15,. . .,. . .,. . .,. . .,. . .,. . .,7,5,6.1,. . .,. . .,. . .
Azerbaijan,Global Youth Tobacco Survey,2016,National,13-15,2.4,1.1,1.8,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Bahamas,Global Youth Tobacco Survey,2013,National,13-15,4,1.6,2.8,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Bahrain,Global Youth Tobacco Survey,2015,National,13-15,5.2,2.2,3.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Bangladesh,Global Youth Tobacco Survey,2013,National,13-15,5.9,2,4.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Barbados,Global Youth Tobacco Survey,2013,National,13-15,2.9,3,2.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Belarus,Global Youth Tobacco Survey,2015,National,13-15,0.9,0.2,0.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Belgium,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Belize,Global Youth Tobacco Survey,2014,National,13-15,2.9,1.7,2.3,. . .,. . .,. . .,8.9,4.1,6.5,. . .,. . .,. . .
Benin,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Bhutan,Global Youth Tobacco Survey,2013,National,13-15,25,18.9,21.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Bolivia (Plurinational State of),Global Youth Tobacco Survey,2012,National,13-15,4.5,4.2,3.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Bosnia and Herzegovina,Global Youth Tobacco Survey,2013,National,13-15,2.4,1.5,2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Botswana,Global Youth Tobacco Survey,2008,National,13-15,11.3,11.4,11.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Brazil,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Brunei Darussalam,Global Youth Tobacco Survey,2013,National,13-15,1.2,0.7,0.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Bulgaria,Global Youth Tobacco Survey,2015,National,13-15,3.4,1.5,2.6,. . .,. . .,. . .,12.2,9.2,10.8,. . .,. . .,. . .
Burkina Faso,Global Youth Tobacco Survey (Ouagadougou),2009,Subnational,13-15,11.2,9.2,10.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Burundi,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Cabo Verde,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Cambodia,Global Youth Tobacco Survey,2016,National,13-15,1.3,0.8,1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Cameroon,Global Youth Tobacco Survey,2014,National,13-15,5,2.3,3.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Canada,"Canadian Student Tobacco, Alcohol and Drugs Survey (CSTADS)",2016-17,National,Grades 7-9,3.4,0.5,2,. . .,. . .,. . .,12.4,7.6,10,. . .,. . .,. . .
Central African Republic,Global Youth Tobacco Survey (Bangui),2008,Subnational,13-15,21.9,8,15.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Chad,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Chile,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
China,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Colombia,Encuesta Nacional de Tabaquismo en Jóvenes,2017,National,13-15,4.2,3.5,3.9,. . .,. . .,. . .,9,8.8,9,0.5,0.4,0.4
Comoros,Global Youth Tobacco Survey,2015,National,13-15,3.6,2,2.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Congo,Global Youth Tobacco Survey,2009,National,13-15,18.3,14.1,16.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Cook Islands,Global Youth Tobacco Survey,2016,National,13-15,3.8,2.4,3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Costa Rica,Global Youth Tobacco Survey,2013,National,13-15,1.7,1.6,1.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Côte d'Ivoire,Global Youth Tobacco Survey,2009,National,13-15,6.2,4.9,5.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Croatia,Global Youth Tobacco Survey,2016,National,13-15,2.8,1.1,1.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Cuba,Global Youth Tobacco Survey,2018,National,13-15,1.9,2.6,2.3,. . .,. . .,. . .,7.6,4.2,6.1,. . .,. . .,. . .
Cyprus,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Czechia,Global Youth Tobacco Survey,2016,National,13-15,6.4,2.8,4.7,. . .,. . .,. . .,12.5,9.8,11.2,. . .,. . .,. . .
Democratic People's Republic of Korea,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Democratic Republic of the Congo,Global Youth Tobacco Survey (Kinshasa),2008,Subnational,13-15,20.6,20.1,20.8,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Denmark,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Djibouti,Global Youth Tobacco Survey,2013,National,13-15,8.1,4,6.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
