COUNTRY,IN REPORTED CURRENCY,CURRENCY REPORTED,INTERNATIONAL DOLLARS (AT PURCHASING POWER PARITY),IN US$ AT OFFICIAL EXCHANGE RATES
Afghanistan,   20.00,AFN,   1.00,   0.27
Albania,   200.00,ALL,   4.63,   1.86
Algeria,   45.00,DZD,   1.40,   0.38
Andorra,   2.80,EUR,. . .,   3.29
Angola,. . .,. .,. . .,. . .
Antigua and Barbuda,   5.35,XCD,   3.12,   1.98
Argentina,   28.57,ARS,   1.93,   1.04
Armenia,   300.00,AMD,   1.50,   0.62
Australia,   20.75,AUD,   14.47,   15.42
Austria,   4.40,EUR,   5.27,   5.16
Azerbaijan,   0.60,AZN,   1.38,   0.35
Bahamas,. . .,. .,. . .,. . .
Bahrain,   0.80,BHD,   4.06,   2.13
Bangladesh,   80.00,BDT,   2.53,   0.96
Barbados,   8.59,BBD,   4.41,   4.30
Belarus,   0.95,BYN,   1.57,   0.48
Belgium,   5.50,EUR,   6.69,   6.45
Belize,   4.00,BZD,   3.51,   2.00
Benin,   225.00,XOF,   1.07,   0.40
Bhutan,—,—,—,—
Bolivia (Plurinational State of),   10.00,BOB,   3.11,   1.45
Bosnia and Herzegovina,   4.00,BAM,   5.75,   2.39
Botswana,   26.95,BWP,   5.77,   2.63
Brazil,   5.00,BRL,   2.45,   1.33
Brunei Darussalam,—,—,—,—
Bulgaria,   4.50,BGN,   6.98,   2.70
Burkina Faso,   250.00,XOF,   1.23,   0.45
Burundi,. . .,. .,. . .,. . .
Cabo Verde,   110.00,CVE,   2.42,   1.17
Cambodia,   700.00,KHR,   0.50,   0.17
Cameroon,   300.00,XAF,   1.34,   0.54
Canada,   7.12,CAD,   5.89,   5.47
Central African Republic,   400.00,XAF,   1.19,   0.72
Chad,   700.00,XAF,   3.49,   1.25
Chile,  2 100.00,CLP,   5.34,   3.29
China,   3.00,CNY,   0.86,   0.44
Colombia,  2 662.00,COP,   2.01,   0.93
Comoros,   400.00,KMF,   1.86,   0.95
Congo,   500.00,XAF,   2.43,   0.89
Cook Islands,   24.00,NZD,. . .,   16.38
Costa Rica,  1 500.00,CRC,   3.84,   2.65
Côte d'Ivoire,   500.00,XOF,   2.10,   0.89
Croatia,   16.00,HRK,   4.51,   2.53
Cuba,   7.00,CUP,. . .,   7.00
Cyprus,   3.80,EUR,   6.35,   4.46
Czechia,   84.00,CZK,   6.35,   3.85
Democratic People's Republic of Korea,   69.00,KPW,. . .,   0.65
Democratic Republic of the Congo,. . .,. .,. . .,. . .
Denmark,   36.00,DKK,   4.85,   5.67
Djibouti,. . .,. .,. . .,. . .
Dominica,   4.60,XCD,   2.42,   1.70
Dominican Republic,   120.00,DOP,   5.63,   2.42
Ecuador,   5.40,USD,   10.06,   5.40
Egypt,   16.00,EGP,   4.68,   0.90
El Salvador,   2.46,USD,   5.10,   2.46
Equatorial Guinea,. . .,. .,. . .,. . .
Eritrea,. . .,. .,. . .,. . .
Estonia,   3.40,EUR,   6.06,   3.99
Eswatini,. . .,. .,. . .,. . .
Ethiopia,. . .,. .,. . .,. . .
Fiji,   13.40,FJD,   11.40,   6.38
Finland,   6.50,EUR,   7.17,   7.63
France,   7.70,EUR,   9.70,   9.04
Gabon,   700.00,XAF,   2.83,   1.25
Gambia,   30.00,GMD,   2.33,   0.63
Georgia,   1.05,GEL,   1.09,   0.43
Germany,   5.20,EUR,   6.70,   6.10
Ghana,   2.50,GHS,   1.50,   0.53
Greece,   3.90,EUR,   6.66,   4.58
Grenada,   6.45,XCD,   3.47,   2.39
