COUNTRY,IN REPORTED CURRENCY,CURRENCY REPORTED,INTERNATIONAL DOLLARS (AT PURCHASING POWER PARITY),IN US$ AT OFFICIAL EXCHANGE RATES
Afghanistan,   150.00,AFN,   7.51,   2.06
Albania,   320.00,ALL,   7.41,   2.98
Algeria,   300.00,DZD,   9.34,   2.55
Andorra,   3.60,EUR,. . .,   4.22
Angola,. . .,. .,. . .,. . .
Antigua and Barbuda,   8.00,XCD,   4.67,   2.96
Argentina,   63.00,ARS,   4.25,   2.29
Armenia,   700.00,AMD,   3.50,   1.46
Australia,   25.20,AUD,   17.57,   18.73
Austria,   5.50,EUR,   6.59,   6.45
Azerbaijan,   2.60,AZN,   5.99,   1.53
Bahamas,. . .,. .,. . .,. . .
Bahrain,   2.00,BHD,   10.15,   5.32
Bangladesh,   240.00,BDT,   7.60,   2.87
Barbados,   18.99,BBD,   9.75,   9.50
Belarus,   3.10,BYN,   5.13,   1.56
Belgium,   6.60,EUR,   8.03,   7.75
Belize,   10.00,BZD,   8.76,   5.00
Benin,  1 000.00,XOF,   4.74,   1.79
Bhutan,—,—,—,—
Bolivia (Plurinational State of),   25.00,BOB,   7.78,   3.62
Bosnia and Herzegovina,   5.80,BAM,   8.33,   3.46
Botswana,. . .,. .,. . .,. . .
Brazil,   8.00,BRL,   3.92,   2.13
Brunei Darussalam,—,—,—,—
Bulgaria,   5.50,BGN,   8.53,   3.30
Burkina Faso,   900.00,XOF,   4.44,   1.61
Burundi,  11 000.00,BIF,   14.60,   6.17
Cabo Verde,   260.00,CVE,   5.71,   2.76
Cambodia,  7 000.00,KHR,   4.96,   1.72
Cameroon,. . .,. .,. . .,. . .
Canada,   11.91,CAD,   9.86,   9.15
Central African Republic,  1 500.00,XAF,   4.45,   2.68
Chad,  2 500.00,XAF,   12.47,   4.47
Chile,  3 600.00,CLP,   9.15,   5.64
China,   50.00,CNY,   14.29,   7.32
Colombia,  5 202.00,COP,   3.94,   1.81
Comoros,  1 500.00,KMF,   6.97,   3.58
Congo,  1 000.00,XAF,   4.86,   1.79
Cook Islands,   25.60,NZD,. . .,   17.47
Costa Rica,  2 100.00,CRC,   5.38,   3.71
Côte d'Ivoire,  1 000.00,XOF,   4.21,   1.79
Croatia,   28.00,HRK,   7.90,   4.43
Cuba,   32.50,CUP,. . .,   32.50
Cyprus,   4.90,EUR,   8.19,   5.75
Czechia,   105.00,CZK,   7.94,   4.81
Democratic People's Republic of Korea,   304.00,KPW,. . .,   2.87
Democratic Republic of the Congo,. . .,. .,. . .,. . .
Denmark,   44.50,DKK,   5.99,   7.01
Djibouti,. . .,. .,. . .,. . .
Dominica,   5.30,XCD,   2.78,   1.96
Dominican Republic,   220.00,DOP,   10.33,   4.43
Ecuador,   5.75,USD,   10.71,   5.75
Egypt,   37.00,EGP,   10.82,   2.08
El Salvador,   3.63,USD,   7.53,   3.63
Equatorial Guinea,. . .,. .,. . .,. . .
Eritrea,. . .,. .,. . .,. . .
Estonia,   5.00,EUR,   8.91,   5.87
Eswatini,. . .,. .,. . .,. . .
Ethiopia,. . .,. .,. . .,. . .
Fiji,   17.30,FJD,   14.72,   8.23
Finland,   7.40,EUR,   8.16,   8.68
France,   8.00,EUR,   10.08,   9.39
Gabon,  1 000.00,XAF,   4.04,   1.79
Gambia,   80.00,GMD,   6.22,   1.67
Georgia,   4.40,GEL,   4.55,   1.80
Germany,   6.40,EUR,   8.25,   7.51
Ghana,   10.00,GHS,   6.00,   2.13
Greece,   4.60,EUR,   7.85,   5.40
Grenada,   14.90,XCD,   8.02,   5.52
Guatemala,   27.00,GTQ,   6.62,   3.61
Guinea,. . .,. .,. . .,. . .
Guinea-Bissau,. . .,. .,. . .,. . .
Guyana,   580.00,GYD,   4.96,   2.78
Haiti,. . .,. .,. . .,. . .
Honduras,   55.00,HNL,   4.68,   2.29
Hungary,  1 245.00,HUF,   9.40,   4.54
Iceland,  1 399.00,ISK,   9.65,   13.36
India,   300.00,INR,   16.60,   4.37
Indonesia,  23 375.00,IDR,   5.53,   1.62
Iran (Islamic Republic of),  100 000.00,IRR,   8.18,   2.27
Iraq,  2 500.00,IQD,   6.18,   2.12
Ireland,   12.20,EUR,   14.95,   14.32
Israel,   38.50,ILS,   9.90,   10.51
Italy,   5.50,EUR,   7.49,   6.45
Jamaica,  1 357.00,JMD,   18.40,   10.10
Japan,   470.00,JPY,   4.75,   4.24
Jordan,   2.75,JOD,   8.62,   3.87
Kazakhstan,   460.00,KZT,   3.90,   1.33
Kenya,. . .,. .,. . .,. . .
Kiribati,   7.00,AUD,   6.21,   5.20
Kuwait,   0.85,KWD,   5.90,   2.81
Kyrgyzstan,   81.00,KGS,   3.58,   1.19
Lao People's Democratic Republic,  15 000.00,LAK,   5.33,   1.74
Latvia,   3.80,EUR,   7.54,   4.46
Lebanon,  3 500.00,LBP,   3.73,   2.32
Lesotho,. . .,. .,. . .,. . .
Liberia,. . .,. .,. . .,. . .
Libya,   15.00,LYD,   17.61,   10.90
Lithuania,   3.75,EUR,   8.22,   4.40
Luxembourg,   5.30,EUR,   6.02,   6.22
Madagascar,  5 500.00,MGA,   5.81,   1.68
Malawi,. . .,. .,. . .,. . .
Malaysia,   17.00,MYR,   11.94,   4.19
Maldives,   72.00,MVR,   7.18,   4.67
Mali,  1 000.00,XOF,   4.62,   1.79
Malta,   5.50,EUR,   9.52,   6.45
Marshall Islands,   3.00,USD,   2.68,   3.00
Mauritania,   100.00,MRU,   9.71,   2.80
Mauritius,   230.00,MUR,   14.43,   6.74
Mexico,   50.00,MXN,   5.49,   2.70
Micronesia (Federated States of),   6.00,USD,   6.45,   6.00
Monaco,. . .,. .,. . .,. . .
Mongolia,  4 500.00,MNT,   6.23,   1.83
Montenegro,   3.60,EUR,   9.35,   4.22
Morocco,   35.00,MAD,   9.90,   3.71
Mozambique,   70.00,MZN,   3.13,   1.20
Myanmar,. . .,. .,. . .,. . .
Namibia,   50.00,NAD,   7.46,   3.80
Nauru,   15.00,AUD,   15.89,   11.15
Nepal,. . .,. .,. . .,. . .
Netherlands,   7.00,EUR,   8.87,   8.22
New Zealand,   26.90,NZD,   18.10,   18.35
Nicaragua,   60.00,NIO,   5.08,   1.89
Niger,  1 500.00,XOF,   6.75,   2.68
Nigeria,. . .,. .,. . .,. . .
Niue,   24.00,NZD,. . .,   16.38
North Macedonia,   140.00,MKD,   7.03,   2.66
Norway,   117.80,NOK,   13.15,   14.51
Oman,   1.20,OMR,   7.59,   3.12
Pakistan,   130.00,PKR,   4.34,   1.05
Palau,   7.50,USD,   6.81,   7.50
Panama,   4.50,PAB,   7.59,   4.50
Papua New Guinea,   19.08,PGK,   8.51,   5.78
Paraguay,  12 000.00,PYG,   4.79,   2.09
Peru,   18.00,PEN,   11.04,   5.50
Philippines,   86.00,PHP,   4.68,   1.61
Poland,   16.70,PLN,   9.51,   4.58
Portugal,   5.00,EUR,   8.20,   5.87
Qatar,   10.00,QAR,   5.21,   2.75
Republic of Korea,  6 000.00,KRW,   7.05,   5.36
Republic of Moldova,   30.00,MDL,   3.94,   1.81
Romania,   17.50,RON,   9.58,   4.43
Russian Federation,   145.00,RUB,   6.16,   2.31
Rwanda,  1 500.00,RWF,   4.84,   1.74
Saint Kitts and Nevis,   8.95,XCD,   5.37,   3.31
Saint Lucia,   16.00,XCD,   8.98,   5.93
Saint Vincent and the Grenadines,. . .,. .,. . .,. . .
Samoa,   13.40,WST,   7.06,   5.19
San Marino,. . .,. .,. . .,. . .
Sao Tome and Principe,   50.00,STN,   3.96,   2.36
Saudi Arabia,   27.50,SAR,   17.68,   7.33
Senegal,   800.00,XOF,   3.58,   1.43
Serbia,   330.00,RSD,   7.81,   3.28
Seychelles,   140.00,SCR,   18.62,   10.05
Sierra Leone,  10 000.00,SLL,   4.07,   1.25
Singapore,   14.10,SGD,   16.87,   10.35
Slovakia,   3.90,EUR,   8.26,   4.58
Slovenia,   4.10,EUR,   6.73,   4.81
Solomon Islands,   32.00,SBD,   4.01,   4.00
Somalia,  24 000.00,SOS,   2.88,   0.99
South Africa,   45.00,ZAR,   7.25,   3.44
South Sudan,. . .,. .,. . .,. . .
Spain,   5.00,EUR,   7.70,   5.87
Sri Lanka,. . .,. .,. . .,. . .
Sudan,   40.00,SDG,   5.98,   2.22
Suriname,   27.00,SRD,   8.54,   3.62
Sweden,   65.00,SEK,   7.35,   7.44
Switzerland,   8.60,CHF,   6.83,   8.71
Syrian Arab Republic,. . .,. .,. . .,. . .
Tajikistan,   12.00,TJS,   5.44,   1.27
Thailand,   145.00,THB,   11.72,   4.35
Timor-Leste,   2.00,USD,   4.69,   2.00
Togo,  1 200.00,XOF,   5.64,   2.15
Tonga,   20.00,TOP,   11.90,   8.83
Trinidad and Tobago,   35.00,TTD,   9.82,   5.16
Tunisia,   6.00,TND,   8.15,   2.23
Turkey,   13.50,TRY,   8.54,   2.76
Turkmenistan,   25.00,TMT,   18.81,   7.14
Tuvalu,   6.00,AUD,   4.70,   4.46
Uganda,  8 500.00,UGX,   7.69,   2.30
Ukraine,   39.00,UAH,   4.46,   1.46
United Arab Emirates,   20.00,AED,   9.23,   5.45
United Kingdom of Great Britain and Northern Ireland,   11.50,GBP,   16.62,   15.14
United Republic of Tanzania,. . .,. .,. . .,. . .
United States of America,—,—,—,—
