COUNTRY,TOBACCO PRODUCTS INCLUDED,YEAR,CURRENCY*,TOTAL EXCISE (SPECIFIC AND AD VALOREM),VALUE ADDED TAX (VAT) AND OTHER SALES TAXES,IMPORT DUTIES AND ALL OTHER TAXES (EXCLUDING CORPORATE TAXES ON TOBACCO COMPANIES),TOTAL REVENUES
Afghanistan,Cigarettes only,2017,AFN,—,—,  1 845 000 000.00,  1 845 000 000.00
Albania,All Tobacco products,2017,ALL,16 236 000 000.00,. . .,. . .,. . .
Algeria,All Tobacco products,2016,DZD,46 670 566 742.00,  196 694 212 919.00,. . .,. . .
Andorra,All Tobacco products,2017,EUR,. . .,. . .,. . .,   106 729 194.04
Angola,All Tobacco products,2013,AOA,. . .,. . .,   38 494 418.80,. . .
Antigua and Barbuda,All Tobacco products,2017,XCD,—,    495 838.92,    444 479.29,    940 318.21
Argentina,All Tobacco products,2017,ARS,46 801 000 000.00,  3 232 000 000.00,  13 397 000 000.00,  63 430 000 000.00
Armenia,Cigarettes only,2017,AMD,44 300 000 000.00,. . .,. . .,. . .
Australia,All Tobacco products,2016/2017,AUD,10 453 000 000.00,. . .,. . .,. . .
Austria,All Tobacco products,2017,EUR,1 867 800 000.00,. . .,. . .,. . .
Azerbaijan,All Tobacco products,2017,AZN, 49 479 862.00,. . .,. . .,. . .
Bahamas,All Tobacco Products,2015,BSD, 14 234 236.77,   1 805 440.22,. . .,. . .
Bahrain,All Tobacco Products,2015,BHD,—,—,   18 300 861.17,   18 300 861.17
Bangladesh,Cigarettes only,2017-18,BDT,173 480 000 000.00,  46 290 000 000.00,   3 156 130.00,  219 773 156 130.00
Barbados,Cigarettes only,2013/2014,BBD,  290 227.66,. . .,. . .,. . .
Belarus,All Tobacco products,2018,BYN, 863 300 000.00,. . .,. . .,. . .
Belgium,All Tobacco products,2017,EUR,2 303 510 000.00,     0.00,     0.00,     0.00
Belize,All Tobacco products,2017-2018,BZD, 13 312 798.00,   4 727 626.00,   11 914 301.00,   29 954 725.00
Benin,Cigarettes only,2017,XOF, 749 647 945.00,   472 278 206.00,   93 064 429.00,  1 314 990 580.00
Bhutan,—,—,—,—,—,—,—
Bolivia (Plurinational State of),All Tobacco products,2017,BOB, 160 172 660.00,   21 589 537.00,   191 021 749.00,   372 783 946.00
Bosnia and Herzegovina,All Tobacco products,2017,BAM, 837 700 000.00,. . .,. . .,. . .
Botswana,Cigarettes only,2015,BWP,. . .,. . .,. . .,   49 153 160.50
Brazil,Cigarettes only,2017,BRL,5 102 600 000.00,. . .,  1 844 500 000.00,  6 947 100 000.00
Brunei Darussalam,All Tobacco Products,2015,BND,  196 665.00,. . .,. . .,. . .
Bulgaria,All Tobacco products,2017,BGN,2 368 620 000.00,. . .,. . .,. . .
Burkina Faso,All Tobacco products,2017,XOF,19 640 784 196.00,  14 742 973 772.00,   480 651 394.00,  34 864 409 362.00
Burundi,All Tobacco products,2017,BIF,4 063 167 674.00,. . .,. . .,. . .
Cabo Verde,Cigarettes only,2017,CVE, 91 020 506.00,   65 115 826.00,   40 763 762.00,   196 900 094.00
Cambodia,Cigarettes only,2017,KHR,62 441 461 439.00,  21 156 704 139.00,  43 567 491 736.00,  127 165 657 314.00
Cameroon,Cigarettes only,2015,XAF,. . .,. . .,  8 506 662 156.00,. . .
Canada,All Tobacco Products,2016-2017,CAD,8 406 000 000.00,. . .,   35 986 868.62,. . .
Central African Republic,All Tobacco products,2016,XAF, 296 799 752.00,. . .,. . .,. . .
Chad,All Tobacco products,2017,XAF,5 152 765 100.00,  1 213 251 776.00,  2 335 239 678.00,  8 701 256 554.00
Chile,All Tobacco products,2017,CLP,978 696 031 779.00,. . .,. . .,  978 696 031 779.00
China,All Tobacco products,2017,CNY,568 600 000 000.00,  183 000 000 000.00,  552 800 000 000.00, 1 004 700 000 000.00
Colombia,All Tobacco products,2017,COP,888 815 000 000.00,. . .,. . .,. . .
Comoros,Cigarettes only,2017,KMF, 437 547 897.00,   21 874 753.00,   52 870 301.00,   512 292 951.00
Congo,All Tobacco products,2017,XAF,2 477 262 911.00,  2 303 854 507.00,  3 184 040 810.00,  7 965 158 228.00
Cook Islands,All Tobacco products,2016,NZD, 5 996 337.00,. . .,    993 049.00,   6 989 386.00
Costa Rica,All Tobacco products,2017,CRC,30 590 381 496.19,  29 535 799 852.19,  1 384 633 761.66,  61 510 815 110.04
Côte d'Ivoire,All Tobacco products,2017,XOF,15 183 985 930.00,. . .,. . .,. . .
Croatia,All Tobacco products,2017,HRK,4 374 060 000.00,. . .,. . .,. . .
Cuba,All Tobacco products,2017,CUP,. . .,. . .,. . .,  2 167 424 900.00
Cyprus,All Tobacco products,2017,EUR, 190 640 000.00,. . .,. . .,. . .
Czechia,All Tobacco products,2017,CZK,56 219 320 000.00,. . .,. . .,. . .
Democratic People's Republic of Korea,. . .,. . .,. .,. . .,. . .,. . .,. . .
Democratic Republic of the Congo,Cigarettes only,2018,CDF,87 947 467 248.00,  23 040 633 396.00,  64 906 833 852.00,  175 894 934 496.00
Denmark,All Tobacco products,2018,DKK,7 088 262 000.00,. . .,. . .,. . .
Djibouti,All tobacco products,2011,DJF, 328 847 718.00,   28 774 174.00,     0.00,   357 621 892.00
Dominica,All Tobacco products,2017,XCD,  90 168.19,    95 869.57,    109 265.00,    295 302.76
Dominican Republic,All Tobacco products,2017,DOP,5 120 065 277.00,. . .,   85 188 530.61,. . .
Ecuador,Cigarettes only,2017,USD, 126 335 847.30,   18 717 966.84,. . .,   145 053 814.14
Egypt,Cigarettes only,2016-17,EGP,42 000 000 000.00,—,. . .,. . .
El Salvador,Cigarettes only,2017,USD, 26 884 600.00,   7 411 692.79,   1 133 036.40,   35 429 329.19
Equatorial Guinea,. . .,. . .,. .,. . .,. . .,. . .,. . .
Eritrea,Cigarettes only,2017,ERN,  70 769.00,    19 107.63,    17 692.25,    107 568.88
Estonia,All Tobacco products,2018,EUR, 199 914 000.00,. . .,. . .,. . .
Eswatini,Cigarettes only,2004,SZL,. . .,. . .,. . .,   38 696 492.87
Ethiopia,All Tobacco products,2017,ETB, 615 286 709.00,   319 704 317.00,   61 135 889.33,   996 126 915.33
Fiji,Cigarettes only,2017,FJD, 58 462 621.50,. . .,    338 153.26,. . .
Finland,All Tobacco products,2018,EUR,1 115 000 000.00,. . .,. . .,. . .
France,All Tobacco products,2017,EUR,11 543 750 000.00,. . .,. . .,. . .
Gabon,All Tobacco products,2017,XAF,11 243 872 726.00,  3 308 577 469.00,. . .,. . .
Gambia,All Tobacco products,2017,GMD, 331 216 641.50,   69 624 446.00,   69 454 521.65,   470 295 609.15
Georgia,All Tobacco products,2017,GEL, 672 400 000.00,. . .,. . .,. . .
Germany,All Tobacco products,2017,EUR,14 381 430 000.00,. . .,. . .,. . .
Ghana,All Tobacco products,2017,GHS, 66 984 725.69,   18 515 577.01,   1 618 497.53,   87 118 800.23
Greece,All Tobacco products,2017,EUR,2 066 100 000.00,. . .,. . .,. . .
Grenada,All Tobacco products,2017,XCD, 6 075 694.29,   1 801 096.84,    832 630.13,   8 709 421.26
Guatemala,All Tobacco products,2017,GTQ, 347 881 557.60,   62 977 401.18,   13 846 399.38,   424 705 358.16
Guinea,All tobacco products,2011,GNF,. . .,. . .,. . .,  277 430 652 862.00
Guinea-Bissau,All Tobacco products,2018,XOF,. . .,. . .,. . .,   510 581 964.00
Guyana,. . .,2016,GYD,1 095 957 573.00,   352 224 056.00,   11 753 463.00,  1 459 935 092.00
Haiti,Cigarettes only,2014/2015,HTG, 2 918 677.53,   3 818 603.12,   11 874 967.63,   18 612 248.28
Honduras,Cigarettes only,2017,HNL, 29 798 209.50,   13 648 356.98,   1 327 823.68,   44 774 390.16
Hungary,All Tobacco products,2018,HUF,343 294 018 180.00,   143 592 685.00,. . .,  486 886 703 555.00
Iceland,All Tobacco Products,2016,ISK,5 817 000 000.00,. . .,. . .,. . .
India,Cigarettes only,2015/2016,INR,183 300 000 000.00,. . .,. . .,. . .
Indonesia,Cigarettes only,2017,IDR,147719 000 000 000.00,. . ., 14 771 900 000 000.00,. . .
Iran (Islamic Republic of),All Tobacco products,2017,IRR,7570 000 000 000.00, 3 854 000 000 000.00, 1 876 000 000 000.00, 13 308 000 000 000.00
Iraq,. . .,. . .,. .,. . .,. . .,. . .,. . .
Ireland,All Tobacco products,2017,EUR,1 397 395 288.23,   327 000 000.00,. . .,  1 724 395 288.23
Israel,All tobacco products,2012,ILS,5 428 000 000.00,. . .,  4 641 000 000.00,. . .
Italy,All Tobacco products,2017,EUR,10 518 860 000.00,. . .,. . .,. . .
Jamaica,Cigarettes only,2017,JMD,5 472 597 934.55,  1 307 670 022.76,   431 137 788.80,  7 211 405 746.11
Japan,All Tobacco products,2017/2018,JPY,2001 220 000 000.00,. . .,. . .,. . .
Jordan,Cigarettes only,2018,JOD, 708 794 516.00,   142 819 072.00,. . .,   851 613 588.00
Kazakhstan,All Tobacco products,2017,KZT,137 790 000 000.00,. . .,. . .,. . .
Kenya,Cigarettes only,2016/2017,KES,12 692 635 797.00,. . .,. . .,. . .
Kiribati,All Tobacco products,2017,AUD, 3 392 048.93,    754 775.28,. . .,. . .
Kuwait,All Tobacco products,2017,KWD,—,—,   61 819 406.23,   61 819 406.23
Kyrgyzstan,All Tobacco products,2017,KGS,4 847 809 780.00,. . .,. . .,. . .
Lao People's Democratic Republic,Cigarettes only,2017,LAK,103 806 645 734.00,  42 033 898 319.00,. . .,. . .
Latvia,All Tobacco products,2017,EUR, 191 809 950.00,. . .,. . .,. . .
Lebanon,All Tobacco Products,2016,LBP,208 180 233 000.00,  77 494 000 000.00,  11 940 000 000.00,. . .
Lesotho,Cigarettes only,2017,LSL, 12 429 001.51,. . .,. . .,. . .
Liberia,All Tobacco products,2015,USD, 1 795 652.89,    484 826.28,    243 437.05,   2 523 916.22
Libya,All Tobacco Products,2013,LYD,—,. . .,. . .,   86 936 788.63
Lithuania,All Tobacco products,2017,EUR, 283 636 000.00,. . .,. . .,. . .
Luxembourg,All Tobacco products,2017,EUR, 535 138 000.00,. . .,. . .,. . .
Madagascar,All Tobacco products,2017,MGA,212 852 362 706.85,  67 298 281 090.00,  1 216 902 224.00,. . .
Malawi,Cigarettes only,2013/2014,MWK,3 575 717 178.26,   788 874 905.34,   42 010 805.00,  4 406 602 888.60
Malaysia,Cigarettes only,2015,MYR,5 784 453 240.00,   629 059 290.00,  2 892 226 620.00,  9 305 739 150.00
Maldives,All Tobacco products,2018,MVR, 575 493 807.65,. . .,. . .,   575 493 807.65
Mali,Cigarettes,2011,XOF,6 898 949 436.00,  5 929 751 045.00,  5 243 851 354.00,  18 072 551 835.00
Malta,All Tobacco products,2017,EUR, 91 737 000.00,. . .,. . .,. . .
Marshall Islands,Cigarettes only,2013,USD,—,. . .,    112 000.00,. . .
Mauritania,All Tobacco products,2017,MRO, 780 545 245.00,. . .,. . .,. . .
Mauritius,All Tobacco products,2017,MUR,5 020 073 641.00,. . .,. . .,. . .
Mexico,All Tobacco products,2017,MXN,39 123 600 000.00,. . .,. . .,  39 123 600 000.00
Micronesia (Federated States of),Cigarettes only,2017,USD,. . .,. . .,   3 028 555.00,. . .
Monaco,. . .,. . .,. .,. . .,. . .,. . .,. . .
Mongolia,Cigarettes only,2017,MNT,31 600 000 000.00,. . .,. . .,. . .
Montenegro,All Tobacco products,2017,EUR, 57 303 598.63,. . .,. . .,. . .
