COUNTRY,TITLE OF SURVEY,YEAR,REPRESENTATIVENESS,AGE GROUP (YEARS),CURRENT TOBACCO USE (M),CURRENT TOBACCO USE (F),CURRENT TOBACCO USE (B),DAILY TOBACCO USE (M),DAILY TOBACCO USE (F),DAILY TOBACCO USE (B),CURRENT TOBACCO SMOKING (M),CURRENT TOBACCO SMOKING (F),CURRENT TOBACCO SMOKING (B),DAILY TOBACCO SMOKING (M),DAILY TOBACCO SMOKING (F),DAILY TOBACCO SMOKING (B),CURRENT CIGARETTE SMOKING (M),CURRENT CIGARETTE SMOKING (F),CURRENT CIGARETTE SMOKING (B),DAILY CIGARETTE SMOKING (M),DAILY CIGARETTE SMOKING (F),DAILY CIGARETTE SMOKING (B)
Afghanistan,Global Youth Tobacco Survey (Kabul),2017,Subnational,13-15,10.1,5.6,8.3,. . .,. . .,. . .,8,3.7,6.3,. . .,. . .,. . .,4.3,1,2.9,. . .,. . .,. . .
Albania,Global Youth Tobacco Survey,2015,National,13-15,14.5,6.7,10.7,. . .,. . .,. . .,12.9,5.6,9.4,. . .,. . .,. . .,8.3,3.6,6,1.7,0.5,1.1
Algeria,Global Youth Tobacco Survey,2013,National,13-15,17.4,2.6,9,. . .,. . .,. . .,14.9,1.8,7.4,. . .,. . .,. . .,12.2,0.8,5.7,. . .,. . .,. . .
Andorra,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Angola,Global Youth Tobacco Survey (Huambo),2010,Subnational,13-15,20.2,18.6,19.8,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,3.2,0.3,2.3,. . .,. . .,. . .
Antigua and Barbuda,Global Youth Tobacco Survey,2017,National,13-15,7.9,7,7.5,. . .,. . .,. . .,6.3,5.9,6.1,. . .,. . .,. . .,1.5,1.2,1.4,. . .,. . .,. . .
Argentina,Global Youth Tobacco Survey,2012,National,13-15,22.7,25.4,24.1,. . .,. . .,. . .,20.2,23.7,22,. . .,. . .,. . .,17.4,21.5,19.6,3.1,5,4.1
Armenia,Health Behaviour in School-aged Children,2013-14,National,"13, 15 averaged",. . .,. . .,. . .,. . .,. . .,. . .,4,1,2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Australia,Australian Secondary School Students Alcohol and Drug Survey (ASSAD),2014,National,12-17,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,5.4,4.9,5.1,3.1,2.5,2.8
Austria,ESPAD,2015,National,15-16,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,27,28,28,18,19,18
Azerbaijan,Global Youth Tobacco Survey,2016,National,13-15,. . .,. . .,. . .,. . .,. . .,. . .,11.6,2.3,7.3,1.6,0.3,1,4.6,1,2.9,. . .,. . .,. . .
Bahamas,Global Youth Tobacco Survey,2013,National,13-15,16.1,8.4,12.6,. . .,. . .,. . .,13.8,6.9,10.7,. . .,. . .,. . .,4.6,2.6,3.8,. . .,. . .,. . .
Bahrain,Global School-Based Student Health Survey,2016,National,13-15,26.5,10.2,18.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,21.1,5,13.4,. . .,. . .,. . .
Bangladesh,Global School-Based Student Health Survey,2014,National,13-15,13.2,2.1,9.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,10.1,1.5,7,. . .,. . .,. . .
Barbados,Global Youth Tobacco Survey,2013,National,13-15,17.4,11.4,14.5,. . .,. . .,. . .,15.7,9.3,12.6,. . .,. . .,. . .,8.8,5,7,. . .,. . .,. . .
Belarus,Global Youth Tobacco Survey,2015,National,13-15,9.5,10.1,9.8,. . .,. . .,. . .,8.9,9.9,9.4,. . .,. . .,. . .,7.2,7.8,7.5,2.2,1.3,1.8
Belgium,Health Behaviour in School-aged Children (Flemish Region),2013-14,Subnational,15-15,. . .,. . .,. . .,. . .,. . .,. . .,10,10,. . .,7,7,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Belize,Global Youth Tobacco Survey,2014,National,13-15,16.6,8.2,12.3,. . .,. . .,. . .,15.7,7.5,11.5,. . .,. . .,. . .,10.4,5.4,7.8,. . .,. . .,. . .
Benin,Global School-Based Student Health Survey,2016,National,13-15,7.2,2,5.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,5.1,1.3,3.8,. . .,. . .,. . .
Bhutan,Global School-Based Student Health Survey,2016,National,13-15,36.5,13.9,24.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,32.5,9.6,20.1,. . .,. . .,. . .
Bolivia (Plurinational State of),Global Youth Tobacco Survey,2012,National,13-15,20.9,16.4,18.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,15.3,9.9,11.3,. . .,. . .,. . .
Bosnia and Herzegovina,Global Youth Tobacco Survey,2013,National,13-15,18.1,12.6,15.5,. . .,. . .,. . .,16.9,11.6,14.4,. . .,. . .,. . .,13.4,8.8,11.2,. . .,. . .,. . .
Botswana,Global Youth Tobacco Survey,2008,National,13-15,27,20.5,23.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,18.1,10.9,14.3,. . .,. . .,. . .
