index,Country,Year,Male,Female
0,Albania,2015,51.2,7.6
1,Albania,2012,52.1,8.2
2,Albania,2010,53.1,8.7
3,Albania,2005,54.7,10.1
4,Albania,2000,56.9,11.6
5,Andorra,2015,37.2,27.8
6,Andorra,2012,38.5,28.4
7,Andorra,2010,39.2,28.8
8,Andorra,2005,41.3,30.2
9,Andorra,2000,43.6,31.6
10,Argentina,2015,29.5,18.4
11,Argentina,2012,31.8,20.8
12,Argentina,2010,33.4,22.4
13,Argentina,2005,38.2,27.7
14,Argentina,2000,43.7,34.0
15,Armenia,2015,52.3,1.5
16,Armenia,2012,54.8,1.7
17,Armenia,2010,56.7,1.8
18,Armenia,2005,61.5,2.2
19,Armenia,2000,67.1,2.6
20,Australia,2015,16.7,13.1
21,Australia,2012,18.4,14.7
22,Australia,2010,19.6,15.8
23,Australia,2005,23.0,19.1
24,Australia,2000,27.1,22.8
25,Austria,2015,35.5,34.8
26,Austria,2012,37.4,35.9
27,Austria,2010,38.8,36.7
28,Austria,2005,42.3,38.4
29,Austria,2000,46.4,40.5
30,Azerbaijan,2015,46.5,0.4
31,Azerbaijan,2012,48.6,0.4
32,Azerbaijan,2010,49.9,0.5
33,Azerbaijan,2005,54.1,0.5
34,Azerbaijan,2000,58.6,0.6
35,Bahrain,2015,48.8,7.6
36,Bahrain,2012,40.1,6.9
37,Bahrain,2010,34.8,6.5
38,Bahrain,2005,25.0,5.6
39,Bahrain,2000,18.2,4.8
40,Bangladesh,2015,39.8,0.7
41,Bangladesh,2012,43.7,1.1
42,Bangladesh,2010,46.6,1.4
43,Bangladesh,2005,54.2,3.0
44,Bangladesh,2000,63.7,6.3
45,Barbados,2015,13.1,0.9
46,Barbados,2012,13.2,1.1
47,Barbados,2010,13.2,1.2
48,Barbados,2005,13.5,1.4
49,Barbados,2000,13.8,1.8
50,Belarus,2015,46.2,10.6
51,Belarus,2012,49.4,11.0
52,Belarus,2010,51.3,11.4
53,Belarus,2005,57.6,12.3
54,Belarus,2000,64.1,13.4
55,Belgium,2015,26.5,20.0
56,Belgium,2012,28.0,20.9
