index,Country,Population,GDP ($ per capita)
0,Afghanistan,31056997,700.0
1,Albania,3581655,4500.0
2,Algeria,32930091,6000.0
3,American Samoa,57794,8000.0
4,Andorra,71201,19000.0
5,Angola,12127071,1900.0
6,Anguilla,13477,8600.0
7,Antigua & Barbuda,69108,11000.0
8,Argentina,39921833,11200.0
9,Armenia,2976372,3500.0
10,Aruba,71891,28000.0
11,Australia,20264082,29000.0
12,Austria,8192880,30000.0
13,Azerbaijan,7961619,3400.0
14,"Bahamas, The",303770,16700.0
15,Bahrain,698585,16900.0
16,Bangladesh,147365352,1900.0
17,Barbados,279912,15700.0
18,Belarus,10293011,6100.0
19,Belgium,10379067,29100.0
20,Belize,287730,4900.0
21,Benin,7862944,1100.0
22,Bermuda,65773,36000.0
23,Bhutan,2279723,1300.0
24,Bolivia,8989046,2400.0
25,Bosnia & Herzegovina,4498976,6100.0
26,Botswana,1639833,9000.0
27,Brazil,188078227,7600.0
28,British Virgin Is.,23098,16000.0
29,Brunei,379444,18600.0
30,Bulgaria,7385367,7600.0
31,Burkina Faso,13902972,1100.0
32,Burma,47382633,1800.0
33,Burundi,8090068,600.0
34,Cambodia,13881427,1900.0
35,Cameroon,17340702,1800.0
36,Canada,33098932,29800.0
37,Cape Verde,420979,1400.0
38,Cayman Islands,45436,35000.0
39,Central African Rep.,4303356,1100.0
40,Chad,9944201,1200.0
41,Chile,16134219,9900.0
42,China,1313973713,5000.0
43,Colombia,43593035,6300.0
44,Comoros,690948,700.0
45,"Congo, Dem. Rep.",62660551,700.0
46,"Congo, Repub. of the",3702314,700.0
47,Cook Islands,21388,5000.0
48,Costa Rica,4075261,9100.0
49,Cote d'Ivoire,17654843,1400.0
50,Croatia,4494749,10600.0
51,Cuba,11382820,2900.0
52,Cyprus,784301,19200.0
53,Czech Republic,10235455,15700.0
54,Denmark,5450661,31100.0
55,Djibouti,486530,1300.0
56,Dominica,68910,5400.0
57,Dominican Republic,9183984,6000.0
58,East Timor,1062777,500.0
59,Ecuador,13547510,3300.0
60,Egypt,78887007,4000.0
61,El Salvador,6822378,4800.0
62,Equatorial Guinea,540109,2700.0
63,Eritrea,4786994,700.0
64,Estonia,1324333,12300.0
65,Ethiopia,74777981,700.0
66,Faroe Islands,47246,22000.0
67,Fiji,905949,5800.0
68,Finland,5231372,27400.0
69,France,60876136,27600.0
70,French Guiana,199509,8300.0
71,French Polynesia,274578,17500.0
72,Gabon,1424906,5500.0
73,"Gambia, The",1641564,1700.0
74,Gaza Strip,1428757,600.0
75,Georgia,4661473,2500.0
76,Germany,82422299,27600.0
77,Ghana,22409572,2200.0
78,Gibraltar,27928,17500.0
79,Greece,10688058,20000.0
80,Greenland,56361,20000.0
81,Grenada,89703,5000.0
82,Guadeloupe,452776,8000.0
83,Guam,171019,21000.0
84,Guatemala,12293545,4100.0
85,Guernsey,65409,20000.0
86,Guinea,9690222,2100.0
87,Guinea-Bissau,1442029,800.0
88,Guyana,767245,4000.0
89,Haiti,8308504,1600.0
90,Honduras,7326496,2600.0
91,Hong Kong,6940432,28800.0
92,Hungary,9981334,13900.0
93,Iceland,299388,30900.0
94,India,1095351995,2900.0
95,Indonesia,245452739,3200.0
96,Iran,68688433,7000.0
97,Iraq,26783383,1500.0
98,Ireland,4062235,29600.0
99,Isle of Man,75441,21000.0
100,Israel,6352117,19800.0
101,Italy,58133509,26700.0
102,Jamaica,2758124,3900.0
103,Japan,127463611,28200.0
104,Jersey,91084,24800.0
105,Jordan,5906760,4300.0
106,Kazakhstan,15233244,6300.0
107,Kenya,34707817,1000.0
108,Kiribati,105432,800.0
109,"Korea, North",23113019,1300.0
110,"Korea, South",48846823,17800.0
111,Kuwait,2418393,19000.0
112,Kyrgyzstan,5213898,1600.0
113,Laos,6368481,1700.0
114,Latvia,2274735,10200.0
115,Lebanon,3874050,4800.0
116,Lesotho,2022331,3000.0
117,Liberia,3042004,1000.0
118,Libya,5900754,6400.0
119,Liechtenstein,33987,25000.0
120,Lithuania,3585906,11400.0
121,Luxembourg,474413,55100.0
122,Macau,453125,19400.0
123,Macedonia,2050554,6700.0
124,Madagascar,18595469,800.0
125,Malawi,13013926,600.0
126,Malaysia,24385858,9000.0
127,Maldives,359008,3900.0
128,Mali,11716829,900.0
129,Malta,400214,17700.0
130,Marshall Islands,60422,1600.0
131,Martinique,436131,14400.0
132,Mauritania,3177388,1800.0
133,Mauritius,1240827,11400.0
134,Mayotte,201234,2600.0
135,Mexico,107449525,9000.0
136,"Micronesia, Fed. St.",108004,2000.0
137,Moldova,4466706,1800.0
138,Monaco,32543,27000.0
139,Mongolia,2832224,1800.0
140,Montserrat,9439,3400.0
141,Morocco,33241259,4000.0
142,Mozambique,19686505,1200.0
143,Namibia,2044147,7200.0
144,Nauru,13287,5000.0
145,Nepal,28287147,1400.0
146,Netherlands,16491461,28600.0
147,Netherlands Antilles,221736,11400.0
148,New Caledonia,219246,15000.0
149,New Zealand,4076140,21600.0
150,Nicaragua,5570129,2300.0
151,Niger,12525094,800.0
152,Nigeria,131859731,900.0
153,N. Mariana Islands,82459,12500.0
154,Norway,4610820,37800.0
155,Oman,3102229,13100.0
156,Pakistan,165803560,2100.0
157,Palau,20579,9000.0
158,Panama,3191319,6300.0
159,Papua New Guinea,5670544,2200.0
160,Paraguay,6506464,4700.0
161,Peru,28302603,5100.0
162,Philippines,89468677,4600.0
163,Poland,38536869,11100.0
164,Portugal,10605870,18000.0
165,Puerto Rico,3927188,16800.0
166,Qatar,885359,21500.0
167,Reunion,787584,5800.0
168,Romania,22303552,7000.0
169,Russia,142893540,8900.0
170,Rwanda,8648248,1300.0
171,Saint Helena,7502,2500.0
172,Saint Kitts & Nevis,39129,8800.0
173,Saint Lucia,168458,5400.0
174,St Pierre & Miquelon,7026,6900.0
