"name","totalSmokingRate","maleSmokingRate","femaleSmokingRate","pop2019"
"Ethiopia","4.7000","8.9000","0.5000","112078.7300"
"Panama","6.6000","10.6000","2.6000","4246.4390"
"Ghana","6.7500","13.1000","0.4000","30417.8560"
"Barbados",7,"13.1000","0.9000","287.0250"
"Ecuador","8.6500",14,"3.3000","17373.6620"
"Nigeria","9.2500","17.4000","1.1000","200963.5990"
"Benin","9.3500","17.7000",1,"11801.1510"
"Niger","9.4000","18.6000","0.2000","23310.7150"
"Uganda","9.6500","16.4000","2.9000","44269.5940"
"Swaziland","10.6000",19,"2.2000","1148.1300"
"Oman",11,21,1,"4974.9860"
"Colombia","11.1000",16,"6.2000","50339.4430"
"Iran","11.1000","21.5000","0.7000","82913.9060"
"India","11.1500","20.4000","1.9000","1366417.7540"
"Senegal","12.0500","23.4000","0.7000","16296.3640"
"Haiti","12.3000","22.1000","2.5000","11263.0770"
"Uzbekistan","13.1000","24.9000","1.3000","32981.7160"
"Kenya","13.3500","24.6000","2.1000","52573.9730"
"Costa Rica","13.4000","18.5000","8.3000","5047.5610"
"Mexico","13.7000","20.8000","6.6000","127575.5290"
"Dominican Republic","14.1000","18.8000","9.4000","10738.9580"
"Sri Lanka","14.4000","28.4000","0.4000","21323.7330"
"Comoros","14.5500","23.1000",6,"850.8860"
"Australia","14.9000","16.7000","13.1000","25203.1980"
"Canada","14.9500","17.7000","12.2000","37411.0470"
"Liberia",15,"27.6000","2.4000","4937.3740"
"Brazil","15.3000","19.3000","11.3000","211049.5270"
"Saudi Arabia","15.4000","27.9000","2.9000","34268.5280"
"Zambia","15.5500","26.5000","4.6000","17861.0300"
"Tanzania","15.6500","27.5000","3.8000","58005.4630"
"Malawi","15.7000","25.4000",6,"18628.7470"
"Niue","15.8500","20.3000","11.4000","1.6150"
"Iceland","16.0500",17,"15.1000","339.0310"
"Brunei","16.2000","29.3000","3.1000","433.2850"
"Singapore","16.5000",28,5,"5804.3370"
"Zimbabwe","16.6500","31.2000","2.1000","14645.4680"
"Denmark",17,"17.6000","16.4000","5771.8760"
"United States","17.2500","19.5000",15,"329064.9170"
"Honduras","17.7000","33.3000","2.1000","9746.1170"
"Jamaica","17.9000","29.9000","5.9000","2948.2790"
"Paraguay","18.1000","28.3000","7.9000","7044.6360"
"Mozambique","18.6500","31.4000","5.9000","30366.0360"
"South Africa","18.9500","31.4000","6.5000","58558.2700"
"Myanmar",19,"31.6000","6.4000","54045.4200"
"United Kingdom","19.1500","19.9000","18.4000","67530.1720"
"Mali",20,"36.8000","3.2000","19658.0310"
"Slovenia","20.2000","22.3000","18.1000","2078.6540"
"Bangladesh","20.2500","39.8000","0.7000","163046.1610"
"Burkina Faso","20.2500",36,"4.5000","20321.3780"
"Sweden","20.6000","20.4000","20.8000","10036.3790"
"Finland","20.8500","23.2000","18.5000","5532.1560"
"Mauritius","21.7000","40.1000","3.3000","1269.6680"
"Thailand","21.8500","41.4000","2.3000","69625.5820"
"Ireland","22.1500","22.4000","21.9000","4882.4950"
"Japan","22.1500","33.7000","10.6000","126860.3010"
"Malaysia","22.2000",43,"1.4000","31949.7770"
"Norway","22.2500","22.4000","22.1000","5378.8570"
"Cameroon","22.3500","43.8000","0.9000","25876.3800"
"Pakistan","22.4500","41.9000",3,"216565.3180"
"Portugal","22.6000","31.5000","13.7000","10226.1870"
"Uruguay","23.0500","26.7000","19.4000","3461.7340"
"Belgium","23.2500","26.5000",20,"11539.3280"
"Switzerland","23.3000","26.9000","19.7000","8591.3650"
"Morocco","23.4000","45.4000","1.4000","36471.7690"
"Cambodia","23.4500","44.1000","2.8000","16486.5420"
"Azerbaijan","23.4500","46.5000","0.4000","10047.7180"
"Luxembourg","23.6000","25.8000","21.4000","615.7290"
"Bolivia","23.8000","30.5000","17.1000","11513.1000"
"Mauritania","23.8500",44,"3.7000","4525.6960"
"Argentina","23.9500","29.5000","18.4000","44780.6770"
"Italy",24,"28.3000","19.7000","60550.0750"
"Nepal","24.1000","37.1000","11.1000","28608.7100"
"Vietnam","24.2000","47.1000","1.3000","96462.1060"
"China","24.7000","47.6000","1.8000","1433783.6860"
"Malta","24.9500","29.7000","20.2000","440.3720"
"Netherlands","25.0500","26.2000","23.9000","17097.1300"
"Egypt","25.1000","49.9000","0.3000","100388.0730"
"Namibia","25.1500","38.9000","11.4000","2494.5300"
"Fiji","25.5500","38.7000","12.4000","889.9530"
"Moldova","25.5500","45.7000","5.4000","4043.2630"
"Philippines","25.7500",43,"8.5000","108116.6150"
"Seychelles","25.9000",43,"8.8000","97.7390"
"Turkey","25.9500","39.5000","12.4000","83429.6150"
"Mongolia","26.5000","47.7000","5.3000","3225.1670"
"Kazakhstan","26.6000","43.9000","9.3000","18551.4270"
"Armenia","26.9000","52.3000","1.5000","2957.7310"
"South Korea",27,"49.8000","4.2000","51225.3080"
"Kyrgyzstan",27,"50.4000","3.6000","6415.8500"
"France","27.7000","29.8000","25.6000","65129.7280"
"Lesotho","27.7500","55.1000","0.4000","2125.2680"
"Poland","28.0500","32.4000","23.7000","37887.7680"
"Bahrain","28.2000","48.8000","7.6000","1641.1720"
"Hungary","28.4000",32,"24.8000","9684.6790"
"Belarus","28.4000","46.2000","10.6000","9452.4110"
"Slovakia","28.6500","39.7000","17.6000","5457.0130"
"Spain","29.2000","31.3000","27.1000","46736.7760"
"Albania","29.4000","51.2000","7.6000","2880.9170"
"Romania","29.8000","36.9000","22.7000","19364.5570"
"Samoa","29.9500",41,"18.9000","197.0970"
"Lithuania","30.1500","38.1000","22.2000","2759.6270"
"Tonga","30.1500","47.3000",13,"104.4940"
"Israel","30.2500","41.2000","19.3000","8519.3770"
"Germany","30.3500","32.4000","28.3000","83517.0450"
"Ukraine","31.7000","49.4000",14,"43993.6380"
"Georgia","31.7000","57.7000","5.7000","3996.7650"
"Andorra","32.5000","37.2000","27.8000","77.1420"
"Laos","32.8500","56.6000","9.1000","7169.4550"
"Estonia","33.0500","41.2000","24.9000","1325.6480"
"Austria","35.1500","35.5000","34.8000","8955.1020"
"Cuba","35.2500","52.7000","17.8000","11333.4830"
"Bulgaria","35.3000","42.4000","28.2000","7000.1190"
"Sierra Leone",36,60,12,"7813.2150"
"Croatia","36.4500","39.4000","33.5000","4130.3040"
"Latvia","36.6000","48.9000","24.3000","1906.7430"
"Chile",38,40,36,"18952.0380"
"Lebanon","38.2000","45.4000",31,"6855.7130"
"Bosnia and Herzegovina","38.6000","47.2000",30,3301
"Indonesia","39.9000","76.2000","3.6000","270625.5680"
"Jordan","40.4500","70.2000","10.7000","10101.6940"
"Russia","40.9000",59,"22.8000","145872.2560"
"Serbia","41.6500","43.6000","39.7000","8772.2350"
"Greece","42.6500","52.6000","32.7000","10473.4550"
"Nauru","47.5000",43,52,"10.7560"
"Kiribati","52.4000","63.9000","40.9000","117.6060"
