"Country","At least one national mass media campaign ran during the survey period","Campaign was part of a comprehensive tobacco control programme","Campaign was pre-tested","Formative research was conducted","Campaign aired on television and/or radio","Campaign utilized media planning","Earned media/public relations were used to promote the campaign","Process evaluation was employed to assess implementation","Outcome evaluation was employed to assess effectiveness"
"Afghanistan","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Albania","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Algeria","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Andorra","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Angola","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Antigua and Barbuda","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Argentina","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No"
"Armenia","Yes","No","No","Not available","Yes","Yes","Yes","Yes","Yes"
"Australia","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Austria","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Azerbaijan","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bahamas","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bahrain","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bangladesh","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Barbados","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Belarus","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Belgium","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Belize","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Benin","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Bhutan","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Bolivia (Plurinational State of)","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bosnia and Herzegovina","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
