"Country","Year","The sale of all smokeless tobacco products is completely banned","Law mandates that health warnings appear on smokeless tobacco packages","Percentage of principal display area mandated to be covered by health warnings - front and back of smokeless tobacco packaging","Percentage of principal display area mandated to be covered by health warnings - front of smokeless tobacco packaging","Percentage of principal display area mandated to be covered by health warnings - back of smokeless tobacco packaging","Does the law mandate specific health warnings on smokeless tobacco packaging?","How many health warnings are approved by the law for smokeless tobacco packaging?","Do health warnings appear on each smokeless tobacco package and any outside packaging and labelling used in the retail sale?","Do health warnings on smokeless tobacco packaging describe the harmful effects of tobacco use on health?","Does the law mandate font style, font size and colour of health warnings on smokeless tobacco packaging?","Are the health warnings on smokeless tobacco packaging rotating?","Are the health warnings on smokeless tobacco packaging written in the principal language(s) of the country?","Do the health warnings on smokeless tobacco packaging include a photograph or graphic?"
"Afghanistan","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Afghanistan","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Afghanistan","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Afghanistan","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Albania","2014","No","Yes","50","50","50","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Albania","2012","No","Yes","50","50","50","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Albania","2010","No","Yes","50","50","50","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Albania","2007","No","Yes","30","30","30","No","0","No","No","No","No","Yes","No"
"Algeria","2014","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","No","No","Yes","No"
"Algeria","2012","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","No","No","Yes","No"
"Algeria","2010","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","No","No","Yes","No"
