"Country","Year","Nicotine replacement therapy - legally sold","Nicotine replacement therapy - place available","Nicotine replacement therapy - cost covered","Nicotine replacement therapy on the Essential Medicines List","Bupropion - legally sold","Bupropion - place available","Bupropion - cost covered","Varenicline - legally sold","Varenicline - place available","Varenicline - cost covered"
"Afghanistan","2014","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Afghanistan","2012","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Afghanistan","2010","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Afghanistan","2007","Yes","In a pharmacy without a prescription","No","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Albania","2014","No","Not applicable","Not applicable","No","Yes","Not available","No","Yes","Not available","No"
"Albania","2012","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Albania","2010","No","Not available","Not available","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Albania","2007","No","Not available","Not available","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Algeria","2014","Yes","In a pharmacy without a prescription","Fully","Yes","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Algeria","2012","Yes","In a pharmacy without a prescription","No","Yes","No","Not applicable","Not applicable","Yes","Not available","No"
"Algeria","2010","Yes","In a pharmacy without a prescription","No","Yes","No","Not applicable","Not applicable","Yes","Not available","No"
"Algeria","2007","Yes","In a pharmacy without a prescription","No","Yes","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Andorra","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Andorra","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Andorra","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Andorra","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Angola","2014","No","Not applicable","Not applicable","Not applicable","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
