,"Name of survey of adults - smokeless","Representativeness of survey of adults - smokeless","Adult survey age range - smokeless","Adult smokeless tobacco use indicator definition","Adult smokeless tobacco use indicator rate","Adult smokeless tobacco use indicator rate","Adult smokeless tobacco use indicator rate"
"Country","","","","","Both sexes","Male","Female"
"Afghanistan","","","","Not available","Not available","Not available","Not available"
"Albania","","","","Not available","Not available","Not available","Not available"
"Algeria","Algeria Adult Tobacco Survey","National","15-74","Current smokeless tobacco use","5.3","9.8","0.8"
"Andorra","","","","Not available","Not available","Not available","Not available"
"Angola","","","","Not available","Not available","Not available","Not available"
"Antigua and Barbuda","","","","Not available","Not available","Not available","Not available"
"Argentina","Global Adult Tobacco Survey","National","15+","Current smokeless tobacco use","0.2","0.1","0.2"
"Armenia","","","","Not available","Not available","Not available","Not available"
"Australia","","","","Not available","Not available","Not available","Not available"
"Austria","","","","Not available","Not available","Not available","Not available"
"Azerbaijan","","","","Not available","Not available","Not available","Not available"
"Bahamas","Bahamas STEPS","National","25-64","Current smokeless tobacco use","0.5","0.9","0.1"
"Bahrain","","","","Not available","Not available","Not available","Not available"
"Bangladesh","Non-Communicable Disease Risk Factor Survey","National","25+","Current smokeless tobacco use","31.7","29.4","33.6"
"Barbados","Barbados STEPS Survey","National","25+","Current smokeless tobacco use","0.3","0.0","0.6"
"Belarus","","","","Not available","Not available","Not available","Not available"
"Belgium","","","","Not available","Not available","Not available","Not available"
"Belize","","","","Not available","Not available","Not available","Not available"
"Benin","L'Enquete STEPS Au Benin","National","25-64","Current smokeless tobacco use","9.2","12.7","5.7"
"Bhutan","Bhutan STEPS Survey","National","18-69","Current smokeless tobacco use","19.7","26.5","11.0"
"Bolivia (Plurinational State of)","","","","Not available","Not available","Not available","Not available"
"Bosnia and Herzegovina","","","","Not available","Not available","Not available","Not available"
"Botswana","","","","Not available","Not available","Not available","Not available"
"Brazil","Pesquisa Nacional de Sa�de (National Health Survey)","National","18+","Current smokeless tobacco use","0.3","0.5","0.2"
"Brunei Darussalam","","","","Not available","Not available","Not available","Not available"
"Bulgaria","","","","Not available","Not available","Not available","Not available"
"Burkina Faso","Enquete STEPs sur les facteurs de risque des maladies non transmissibles, Burkina Faso","National","25-64","Current smokeless tobacco use","8.9","5.6","11.7"
"Burundi","","","","Not available","Not available","Not available","Not available"
"Cabo Verde","Cap Vert Enquete STEPS","National","25-64","Current smokeless tobacco use","4.6","3.5","5.8"
"Cambodia","National Adult Tobacco survey of Cambodia","National","15+","Current smokeless tobacco use","7.3","0.7","12.7"
"Cameroon","Enquete Demographique et de Sante et Indicateurs Multiples au Cameroon","National","15-59","Current smokeless tobacco use","","2.7","0.5"
"Canada","Canada Tobacco Use Monitoring Survey (CTUMS)","National","15+","Current smokeless tobacco use","0.5","1.1","[-]"
"Central African Republic","","","","Not available","Not available","Not available","Not available"
"Chad","Chad STEPS survey","Subnational","25-64","Current smokeless tobacco use","1.2","1.9","0.4"
"Chile","","","","Not available","Not available","Not available","Not available"
"China","","","","Not available","Not available","Not available","Not available"
"Colombia","","","","Not available","Not available","Not available","Not available"
"Comoros","","","","Not available","Not available","Not available","Not available"
"Congo","","","","Not available","Not available","Not available","Not available"
"Cook Islands","","","","Not available","Not available","Not available","Not available"
"Costa Rica","Encuesta nacional en hogares sobre consumo de drogas","National","12-70","Current smokeless tobacco use","0.5","0.8","0.3"
"Côte d'Ivoire","","","","Not available","Not available","Not available","Not available"
"Croatia","","","","Not available","Not available","Not available","Not available"
"Cuba","","","","Not available","Not available","Not available","Not available"
"Cyprus","","","","Not available","Not available","Not available","Not available"
"Czechia","The use of tobacco and alcohol in the Czech Republic","National","15+","Current smokeless tobacco use","2.1","2.8","1.3"
"Democratic People's Republic of Korea","","","","Not available","Not available","Not available","Not available"
"Democratic Republic of the Congo","","","","Not available","Not available","Not available","Not available"
"Denmark","Monitorering af danskernes rygevaner [Monitoring smoking habits in the Danish population]","National","15+","Current smokeless tobacco use","0.7","1.0","0.4"
"Djibouti","","","","Not available","Not available","Not available","Not available"
"Dominica","Dominica STEPS Survey","National","15-64","Current smokeless tobacco use","0.8","1.6","0.0"
"Dominican Republic","","","","Not available","Not available","Not available","Not available"
"Ecuador","","","","Not available","Not available","Not available","Not available"
"Egypt","Egypt NCD Stepwise Survey","National","25-64","Current smokeless tobacco use","0.7","",""
"El Salvador","","","","Not available","Not available","Not available","Not available"
"Equatorial Guinea","","","","Not available","Not available","Not available","Not available"
"Eritrea","","","","Not available","Not available","Not available","Not available"
"Estonia","Health Behaviour among Estonian Adult Population","National","16-64","Current smokeless tobacco use","6.8","11.9","3.1"
"Eswatini","Swaziland STEPS NCD Risk Factor Survey","National","25-64","Current smokeless tobacco use","1.6","2.6","0.8"
"Ethiopia","","","","Not available","Not available","Not available","Not available"
"Fiji","","","","Not available","Not available","Not available","Not available"
"Finland","Health Behaviour and Health among the Finnish Adult Population","National","15-64","Current smokeless tobacco use","1.4","2.9","0.2"
"France","","","","Not available","Not available","Not available","Not available"
"Gabon","","","","Not available","Not available","Not available","Not available"
"Gambia","Gambia STEPS Survey","National","25-64","Current smokeless tobacco use","1.1","0.8","1.4"
"Georgia","Survey of Risk Factors of Non-Communicable Diseases","National","18-64","Current smokeless tobacco use","0.6","1.0","0.2"
"Germany","Eurobarometer - Attitudes of Europeans Towards Tobacco","National","18-64","Current smokeless tobacco use","2.0","",""
"Ghana","Demographic and Health Survey","National","15-59","Current smokeless tobacco use","","1.7","0.2"
"Greece","Global Adult Tobacco Survey","National","15+","Current smokeless tobacco use","0.2","0.2","0.2"
"Grenada","Grenada STEPS","National","25-64","Current smokeless tobacco use","1.2","2.2","0.3"
