,"Name of survey of adults","Representativeness of survey of adults","Adult survey age range","Adult indicator 1 definition","Adult indicator 1 rate","Adult indicator 1 rate","Adult indicator 1 rate","Adult indicator 2 definition","Adult indicator 2 rate","Adult indicator 2 rate","Adult indicator 2 rate"
"Country","","","","","Both sexes","Male","Female","","Both sexes","Male","Female"
"Afghanistan","Study of Smoking Prevalence among Men in Kabul City","Subnational","15+","Current cigarette smoking","Not available","35.2","Not available","Not available","Not available","Not available","Not available"
"Albania","Albania Demographic Health Survey","National","15-49","Current cigarette smoking","Not available","42.5","4.2","Daily cigarette smoking","Not available","42.3","4.1"
"Algeria","Algeria Adult Tobacco Survey","National","15-74","Current tobacco smoking","15.3","27.1","1.7","Daily tobacco smoking","10.5","17.6","0.9"
"Andorra","Enquesta Nacional de Salut d'Andorra","National","15+","Current tobacco smoking","Not available","37.4","27.7","Daily tobacco smoking","Not available","35.3","25.5"
"Angola","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Antigua and Barbuda","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Argentina","Global Adult Tobacco Survey","National","15+","Current tobacco smoking","22.1","29.4","15.6","Daily tobacco smoking","17.1","21.9","12.7"
"Armenia","Health System Performance Assessment","National","16+","Current tobacco smoking","25.4","50.9","3.2","Daily tobacco smoking","23.0","48.7","2.0"
"Australia","National Drug Strategy Household Survey","National","14+","Current tobacco smoking","15.8","18.3","13.4","Daily tobacco smoking","12.8","14.5","11.2"
"Austria","Die Raucher in Osterreich (Smoking in Austria)","National","15+","Current cigarette smoking","37.0","Not available","Not available","Daily cigarette smoking","33.0","38.0","27.0"
"Azerbaijan","Household Budget Survey","National","15+","Current cigarette smoking","16.7","35.3","0.0","Not available","Not available","Not available","Not available"
"Bahamas","Bahamas STEPS","National","25-64","Current tobacco smoking","16.7","26.9","6.4","Daily tobacco smoking","10.6","17.0","4.0"
"Bahrain","National Non-Communicable Diseases Risk Factor Survey","National","20-64","Current tobacco smoking","19.9","33.4","7.0","Daily tobacco smoking","17.9","30.6","5.7"
"Bangladesh","Non-Communicable Disease Risk Factor Survey","National","25+","Current tobacco smoking","26.2","54.8","1.3","Daily tobacco smoking","25.4","53.3","1.1"
"Barbados","Barbados STEPS Survey","National","25+","Current tobacco smoking","7.5","14.2","1.6","Daily tobacco smoking","4.9","9.4","0.9"
"Belarus","(Sample survey of households living standards)","National","16+","Current tobacco smoking","25.9","48.6","9.7","Daily tobacco smoking","23.0","45.0","7.3"
"Belgium","Health Interview Survey, Belgium","National","15+","Current tobacco smoking","23.0","26.2","19.9","Daily tobacco smoking","18.9","21.6","16.4"
"Belize","The Central American Diabetes Initiative: Survey of Diabetes, Hypertension and Non-Communicable Disease Risk Factors","National","20+","Current cigarette smoking","10.2","17.7","1.4","Not available","Not available","Not available","Not available"
"Benin","Enquete Demographique et de Sante au Benin","National","15-64","Current tobacco use","Not available","12.1","0.9","Daily cigarette smoking","Not available","7.7","Not available"
"Bhutan","Bhutan STEPS Survey","National","18-69","Current tobacco smoking","7.4","10.8","3.1","Daily tobacco smoking","4.3","6.0","2.1"
