,"Name of survey of youth","Representativeness of youth survey","Youth survey age range","Youth indicator 1 definition","Youth indicator 1 rate","Youth indicator 1 rate","Youth indicator 1 rate","Youth indicator 2 definition","Youth indicator 2 rate","Youth indicator 2 rate","Youth indicator 2 rate"
"Country","","","","","Both sexes","Male","Female","","Both sexes","Male","Female"
"Afghanistan","Global Youth Tobacco Survey (Kabul)","Subnational","13-15","Current tobacco use","8.6","8.7","8.1","Current cigarette smoking","2.5","3.7","0.8"
"Albania","Global Youth Tobacco Survey","National","13-15","Current tobacco use","11.8","17.6","6.7","Current cigarette smoking","11.5","17.6","6.3"
"Algeria","Global Youth Tobacco Survey","National","13-15","Current tobacco use","9.0","17.4","2.6","Current cigarette smoking","5.7","12.2","0.8"
"Angola","Global Youth Tobacco Survey (Huambo)","Subnational","13-15","Current tobacco use","19.8","20.2","18.6","Current cigarette smoking","2.3","3.2","0.3"
"Antigua and Barbuda","Global School-Based Student Health Survey","National","13-15","Current tobacco use","11.9","13.4","9.8","Current cigarette smoking","7.4","8.2","6.1"
"Argentina","Global School-Based Student Health Survey","National","13-15","Current cigarette smoking","18.8","17.0","20.5","","","",""
"Armenia","Health Behaviour in School-aged Children","National","15-15","Current tobacco smoking","Not available","11.0","1.4","Daily tobacco smoking","4.0","8.0","1.0"
"Australia","Australian Secondary School Students Alcohol and Drug Survey (ASSAD)","National","12-15","Current tobacco smoking","5.6","5.7","5.5","Daily tobacco smoking","1.0","1.0","0.9"
"Austria","Health Behaviour in School-aged Children","National","15-15","Current tobacco smoking","36.4","33.2","39.5","Daily tobacco smoking","19.0","18.0","21.0"
"Azerbaijan","Global Youth Tobacco Survey","National","13-15","Current tobacco use","6.8","11.4","2.1","Daily cigarette smoking","1.1","1.8","0.4"
"Bahamas","Global Youth Tobacco Survey","National","13-15","Current tobacco smoking","13.7","16.0","10.7","","","",""
"Bahrain","Global Youth Tobacco Survey","National","13-15","Current tobacco use","23.3","33.5","11.9","Current cigarette smoking","14.3","23.1","4.6"
"Bangladesh","Global Youth Tobacco Survey","National","13-15","Current tobacco use","Not available","9.2","2.8","","","",""
"Barbados","Global School-Based Student Health Survey","National","13-15","Current tobacco use","14.1","18.4","9.7","Current cigarette smoking","9.7","12.7","6.6"
"Belarus","Global Youth Tobacco Survey","National","13-15","Current tobacco use","26.9","31.6","22.2","Current cigarette smoking","26.5","31.2","21.7"
"Belgium","Health Behaviour in School-aged Children (Flemish Region)","Subnational","15-15","Current tobacco smoking","Not available","16.0","15.0","Daily tobacco smoking","11.0","11.0","11.0"
"Belize","Global Youth Tobacco Survey","National","13-15","Current tobacco use","12.3","16.6","8.2","Current cigarette smoking","7.8","10.4","5.4"
"Benin","Global School-Based Student Health Survey","National","13-15","Current tobacco use","4.0","4.7","2.2","Current cigarette smoking","2.8","3.3","1.6"
"Bhutan","Global Youth Tobacco Survey","National","13-15","Current tobacco use","30.3","39.0","23.2","Current cigarette smoking","14.0","23.1","6.6"
"Bolivia (Plurinational State of)","Global Youth Tobacco Survey","National","13-15","Current tobacco use","18.7","20.9","16.4","Current cigarette smoking","11.3","15.3","9.9"
"Bosnia and Herzegovina","Global Youth Tobacco Survey","National","13-15","Current tobacco use","13.3","16.3","10.5","Current cigarette smoking","11.7","14.3","9.4"
"Botswana","Global Youth Tobacco Survey","National","13-15","Current tobacco use","23.6","27.0","20.5","Current cigarette smoking","14.3","18.1","10.9"
"Brazil","National Adolescent School-based Health Survey (PeNSE)","National","9th-grade","Current tobacco use","7.6","7.9","7.3","Current cigarette smoking","5.1","5.1","5.0"
"Brunei Darussalam","Global School-Based Student Health Survey","National","13-15","Current tobacco use","9.8","15.2","4.8","Current cigarette smoking","8.9","13.9","4.3"
"Bulgaria","European School Survey Project on Alcohol and Other Drugs (ESPAD)","National","15-16","Current cigarette smoking","39.0","33.0","46.0","","","",""
"Burkina Faso","Global Youth Tobacco Survey (Ouagadougou)","Subnational","13-15","Current tobacco use","16.8","22.6","11.5","Current cigarette smoking","6.5","11.9","2.0"
"Burundi","Global Youth Tobacco Survey","National","13-15","Current tobacco use","19.3","20.7","16.8","Current cigarette smoking","4.6","5.8","3.2"
"Cabo Verde","Global Youth Tobacco Survey","National","13-15","Current tobacco use","13.4","14.7","11.7","Current cigarette smoking","3.5","3.7","3.1"
"Cambodia","Global Youth Tobacco Survey","National","13-15","Current tobacco use","6.3","7.9","5.0","Current cigarette smoking","0.2","0.4","Not available"
"Cameroon","Global Youth Tobacco Survey (Centre District)","Subnational","13-15","Current tobacco use","10.9","14.0","8.2","Current cigarette smoking","4.8","7.6","2.8"
"Canada","Youth Smoking Survey","National","Grades 6-9","Current tobacco smoking","1.9","2.1","1.7","Daily tobacco smoking","0.9","1.1","0.7"
