"Country","Tax structure: Excise tax proportion of price","Tax structure: Type of excise tax applied","Tax structure: Uniform excise tax","Tax structure: Greater reliance on specific tax in mixed excise regime","Tax structure: Minimum specific tax applied in ad valorem or mixed excise regime","Tax structure: Retail price used as base of ad valorem component in ad valorem or mixed excise regime (or retail price exclusive of VAT)","Affordability: % of GDP per capita required to purchase 100 packs of most sold brand (the higher the %, the less affordable)","Affordability: Cigarettes are less affordable in 2014 compared to 2008","Affordability: Specific tax component automatically adjusted for inflation (or other)","Affordability: Price dispersion: share of cheapest brand price in premium brand price (the higher the % the smaller the gap)","Tax administration: Tax stamps applied on tobacco products","Tax administration: Bans or limits on duty free imports by travellers","Tax administration: If duty free imports are limited, duty free allowance (number of cigarette sticks)"
"Afghanistan","0.00","No excise","Not applicable","Not applicable","Not applicable","Not applicable","4.99","Yes","Not applicable","15.00","Not available","Limited","Not available"
"Albania","45.00","Specific excise","Yes","Not applicable","Not applicable","Not applicable","3.93","Yes","Not available","44.44","Yes","Limited","200"
"Algeria","38.14","Specific excise","No","Not applicable","Not applicable","Not applicable","1.84","No","No","33.33","No","Limited","200"
"Andorra","63.88","Specific excise","No","Not applicable","Not applicable","Not applicable","Not available","Not available","No","Not available","No","Limited","300"
"Angola","0.00","No excise","Not applicable","Not applicable","Not applicable","Not applicable","Not available","Not available","Not applicable","75.00","Not available","None","Not available"
"Antigua and Barbuda","0.00","No excise","Not applicable","Not applicable","Not applicable","Not applicable","2.12","Yes","Not applicable","75.00","Not available","Limited","200"
"Argentina","64.33","Ad valorem excise","Yes","Not applicable","No","No","1.39","Yes","Not applicable","41.94","Yes","Not available","Not available"
"Armenia","16.67","Specific excise","No","Not applicable","Not applicable","Not applicable","4.38","No","No","30.00","Yes","Limited","400"
"Australia","47.67","Specific excise","Yes","Not applicable","Not applicable","Not applicable","2.53","Yes","Yes","78.96","No","Limited","50"
"Austria","57.33","Mixed excise","Yes","No","Yes","Yes","1.28","Yes","Not available","80.61","No","Limited","200"
"Azerbaijan","2.02","Specific excise","No","Not applicable","Not applicable","Not applicable","2.16","Yes","Not available","24.00","Yes","Limited","600"
"Bahamas","42.86","Specific excise","Yes","Not applicable","Not applicable","Not applicable","2.91","Yes","Not available","48.66","Yes","Banned","Not available"
"Bahrain","0.00","No excise","Not applicable","Not applicable","Not applicable","Not applicable","0.47","No","Not applicable","50.00","Not available","Limited","400"
"Bangladesh","61.00","Ad valorem excise","No","Not applicable","No","Yes","7.66","Yes","Not applicable","15.79","Yes","Limited","200"
"Barbados","27.15","Specific excise","Yes","Not applicable","Not applicable","Not applicable","4.52","Yes","Not available","79.33","No","Banned","Not available"
"Belarus","34.48","Specific excise","No","Not applicable","Not applicable","Not applicable","1.72","Yes","No","35.63","Yes","Limited","200"
"Belgium","58.56","Mixed excise","Yes","No","Yes","Yes","1.64","Yes","Not available","80.91","Yes","Limited","200"
