"Country","Annual tax revenues - tobacco products included","Annual tax revenues - year","Annual tax revenues - currency","Annual tax revenues - total excise (specific and ad valorem)","Annual tax revenues - value added tax (vat) and other sales taxes","Annual tax revenues - import duties and all other taxes (excluding corporate taxes on tobacco companies)","Annual tax revenues - total revenues"
"Afghanistan","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Albania","All Tobacco Products","2013","ALL","12930607845.00","4505118863.00","900739769.00","18336466477.00"
"Algeria","All Tobacco products","2013","DZD","35935462980.00","23777154175.00","Not available","Not available"
"Andorra","All Tobacco Products","2013","EUR","Not available","Not available","Not available","113697150.07"
"Angola","All Tobacco products","2013","AOA","Not applicable","Not available","38494418.80","Not available"
"Antigua and Barbuda","All Tobacco Products","2013","XCD","Not applicable","363467.53","752001.79","1115469.32"
"Argentina","All Tobacco Products","2013","ARS","10451729000.00","1225000000.00","1840228603.97","13516957603.97"
"Armenia","All Tobacco Products","2013","AMD","28284800000.00","Not available","Not available","Not available"
"Australia","All Tobacco Products","2013/2014","AUD","8531000000.00","Not available","Not available","Not available"
"Austria","All Tobacco Products","2013","EUR","1662100000.00","Not available","Not available","Not available"
"Azerbaijan","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Bahamas","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Bahrain","Cigarettes only","2013","BHD","Not applicable","Not applicable","63866309.00","63866309.00"
"Bangladesh","Cigarettes only","2013/14","BDT","96583800000.00","26086600000.00","Not available","Not available"
"Barbados","All Tobacco Products","2013/2014","BBD","290227.66","Not available","Not available","Not available"
"Belarus","All Tobacco Products","2013","BYR","3100000000000.00","Not available","Not available","Not available"
"Belgium","All Tobacco Products","2014","EUR","2197793043.48","705793500.85","Not available","Not available"
"Belize","All Tobacco Products","2013","BZD","Not applicable","10423432.67","30966219.41","41389652.08"
"Benin","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Bhutan","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bolivia (Plurinational State of)","All Tobacco Products","2013","BOB","121965692.00","15743867.00","60477522.00","198187081.00"
"Bosnia and Herzegovina","All Tobacco Products","2013","BAM","727000000.00","163000000.00","4000000.00","894000000.00"
"Botswana","All Tobacco products","2013","BWP","Not available","Not available","Not available","59300990.00"
"Brazil","Cigarettes only","2013","BRL","5096700000.00","Not available","2853400000.00","Not available"
"Brunei Darussalam","All Tobacco Products","2014","BND","Not available","Not available","Not available","231566.00"
"Bulgaria","All Tobacco Products","2013","BGN","1803820000.00","Not available","Not available","Not available"
"Burkina Faso","All Tobacco products","2013","XOF","Not available","Not available","Not available","10914960000.00"
"Burundi","All Tobacco products","2013","BIF","Not available","Not available","Not available","5055662295.00"
"Cabo Verde","Cigarettes only","2013","CVE","63165329.00","56848801.00","50566716.00","170580846.00"
"Cambodia","Cigarettes only","2011","KHR","14118000000.00","8639000000.00","8389000000.00","31146000000.00"
"Cameroon","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Canada","All Tobacco Products","2012/2013","CAD","7457000000.00","Not available","Not available","Not available"
"Central African Republic","Cigarettes only","2013","XAF","338718764.00","748612036.00","791560457.00","1878891257.00"
"Chad","All Tobacco products","2013","XAF","2533625621.00","4575746233.00","586603618.00","7695975472.00"
"Chile","All Tobacco Products","2014","CLP","856595000000.00","Not available","Not available","Not available"
"China","All Tobacco Products","2013","CNY","428542000000.00","Not available","Not available","Not available"
"Colombia","All Tobacco Products","2013","COP","496212802000.00","Not available","Not available","Not available"
"Comoros","Cigarettes only","2013","KMF","983508784.00","Not available","Not available","Not available"
"Congo","Cigarettes only","2013","XAF","2142000492.00","2900179695.00","12489905806.00","17532085993.00"
"Cook Islands","Cigarettes only","2012","NZD","2326834.80","0.00","0.00","0.00"
"Costa Rica","Cigarettes only","2013","CRC","38859600000.00","29371200000.00","1753720000.00","69984520000.00"
"Côte d'Ivoire","All Tobacco products","2013","XOF","17009.99","16654.95","3565.94","40575.89"
"Croatia","All Tobacco Products","2013","HRK","3616920000.00","Not available","Not available","Not available"
"Cuba","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Cyprus","All Tobacco Products","2013","EUR","205330000.00","Not available","Not available","Not available"
"Czechia","All Tobacco Products","2014","CZK","44698307260.00","Not available","Not available","Not available"
"Democratic People's Republic of Korea","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Democratic Republic of the Congo","Cigarettes only","2013","CDF","5598871728.00","7332678307.00","Not available","29827889903.00"
"Denmark","All Tobacco Products","2014","DKK","7149594000.00","Not available","Not available","Not available"
"Djibouti","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Dominica","All Tobacco Products","2013","XCD","Not available","Not available","Not available","410012.05"
"Dominican Republic","All Tobacco Products","2013","DOP","4355500000.00","Not available","Not available","Not available"
"Ecuador","Cigarettes only","2014","USD","177578275.96","21701695.30","Not available","199279971.26"
"Egypt","All Tobacco Products","2013/2014","EGP","21000000000.00","Not available","Not available","Not available"
"El Salvador","Cigarettes only","2013","USD","17157800.00","13788600.00","6231910.00","37178310.00"
"Equatorial Guinea","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Eritrea","All Tobacco products","2013","ERN","28091575.31","Not available","Not available","Not available"
"Estonia","All Tobacco Products","2013","EUR","166610000.00","Not available","Not available","Not available"
"Eswatini","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Ethiopia","All Tobacco products","2012/2013","ETB","504040000.00","180300000.00","50000000.00","734340000.00"
"Fiji","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Finland","All Tobacco Products","2013","EUR","847761074.67","260000000.00","Not available","Not available"
"France","All Tobacco Products","2013","EUR","11118330000.00","Not available","Not available","Not available"
"Gabon","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Gambia","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Georgia","Cigarettes only","2013","GEL","302876700.00","Not available","Not available","Not available"
"Germany","All Tobacco Products","2013","EUR","14129410000.00","Not available","Not available","Not available"
"Ghana","All Tobacco products","2013","GHS","45701622.89","9512949.77","2336452.41","57551025.07"
"Greece","All Tobacco Products","2013","EUR","2503160000.00","Not available","Not available","Not available"
"Grenada","All Tobacco Products","2013","XCD","6150625.16","1919219.60","689245.13","8759089.89"
"Guatemala","All Tobacco Products","2013","GTQ","385200000.00","Not available","Not available","Not available"
"Guinea","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Guinea-Bissau","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Guyana","All Tobacco Products","2012","GYD","1291924903.50","413464254.84","19672281.24","1725061439.58"
"Haiti","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Honduras","All Tobacco Products","2012","HNL","632740000.00","146207154.00","1374960.47","780322114.47"
"Hungary","All Tobacco Products","2014","HUF","287870431462.00","113921745195.00","Not available","401792176657.00"
"Iceland","All Tobacco Products","2013","ISK","5797000000.00","Not available","Not available","Not available"
"India","Cigarettes only","2013/14","INR","150100000000.00","88547000000.00","4503000000.00","243150000000.00"
"Indonesia","All Tobacco Products","2013","IDR","103570000000000.00","17088340000000.00","8849960000000.00","129508300000000.00"
"Iran (Islamic Republic of)","Cigarettes only","2012/2013","IRR","Not applicable","Not available","Not available","4582000000000.00"
"Iraq","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Ireland","All Tobacco Products","2014","EUR","983600000.00","Not available","Not available","Not available"
"Israel","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Italy","All Tobacco Products","2014","EUR","10414393000.00","3220350000.00","Not available","13634744000.00"
"Jamaica","Cigarettes only","2013/2014","JMD","4221630000.00","Not available","Not available","5331591094.25"
"Japan","All Tobacco Products","2013/2014","JPY","2353840000000.00","Not available","Not available","Not available"
"Jordan","Cigarettes only","2013","JOD","374750075.00","67102734.00","Not available","Not available"
"Kazakhstan","Cigarettes only","2013","KZT","45547604000.00","Not available","Not available","Not available"
"Kenya","Cigarettes only","2013/2014","KES","11044370022.00","2762916302.00","1610296839.00","Not available"
"Kiribati","Cigarettes only","2012","AUD","Not available","Not available","Not available","1127945.00"
"Kuwait","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Kyrgyzstan","All Tobacco Products","2013","KGS","1289601977.00","Not available","Not available","Not available"
"Lao People's Democratic Republic","Cigarettes only","2013","LAK","Not available","Not available","Not available","106248000000.00"
"Latvia","All Tobacco Products","2013","LVL","106120000.00","Not available","Not available","Not available"
"Lebanon","All Tobacco Products","2012","LBP","429183928.00","Not available","Not available","Not available"
"Lesotho","Cigarettes only","2013/2014","LSL","9095947.87","Not available","Not available","Not available"
"Liberia","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Libya","All Tobacco Products","2013","LYD","Not applicable","Not available","Not available","86936788.63"
"Lithuania","All Tobacco Products","2014","LTL","771796000.00","Not available","Not available","Not available"
"Luxembourg","All Tobacco Products","2013","EUR","529008000.00","Not available","Not available","Not available"
"Madagascar","Cigarettes only","2013","MGA","176468355496.00","45639361611.00","962625880.00","223070342987.00"
"Malawi","Cigarettes only","2013/2014","MWK","3575717178.26","788874905.34","42010805.00","4406602888.60"
"Malaysia","Cigarettes only","2013","MYR","3275600000.00","205000000.00","114300000.00","3594900000.00"
"Maldives","All Tobacco Products","2013","MVR","Not applicable","Not applicable","403890611.50","403890611.50"
"Mali","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Malta","All Tobacco Products","2013","EUR","72416000.00","Not available","Not available","Not available"
"Marshall Islands","Cigarettes only","2013","USD","Not applicable","Not available","112000.00","Not available"
"Mauritania","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Mauritius","All Tobacco products","2013","MUR","3696868956.00","793310745.00","0.00","4490179701.00"
"Mexico","All Tobacco Products","2013","MXN","34190000000.00","Not available","Not available","Not available"
